scheme,agency,description,image,link,who_is_it_for,what_it_gives,scheme_type,search_booster,phone,email,address,how_to_apply
The STF Hardship Assistance Scheme,Singapore Teochew Foundation,The STF Hardship Assistance Scheme aims to assist Singaporean families when they lose the support of their sole or main breadwinner due to unforeseen circumstances. They provide short-term supplementary financial assistance for the family to regain their footing in life.,https://chidnast.sirv.com/SchemesSG/stf.jpg,https://singaporeteochewfoundation.com.sg/#hardship,Families who have just lost a breadwinner,Financial assistance for families who have lost breadwinner,"Low income,Family","husband passed away, husband died, father passed away, father died, no more breadwinner, sole source of livelihood gone",,,,
Caregiving @ South West,South West District CDC,"To support caregivers in training, resources and services through creation of a seamless and conducive environment for caregivers. To empower our community in areas of caregiving by engaging trained or past caregivers to volunteer as respite caregivers or serve as community caregivers (social employment); and organise activities in support of caregiving.",https://chidnast.sirv.com/SchemesSG/swcdc.jpg,https://southwest.cdc.gov.sg/what-we-do/for-caregivers/caregiving/,Caregivers,"Emotional care,Educational programmes,Financial assistance for education","Mental health,Healthcare,Caregiver, Elderly,Children,Family","burnout, tired, lonely, taking care of, sole caregiver, no rest, dementia, elderly, special needs, disabled, depression, mental health, schizophrenia, mentally ill, alzheimer, self harm, respite, workshop, skills training, cannot afford, need to pay, medical bills, see doctor, hospital checkup, no time, caregiving",,,,
South West Caregiver Support Fund,South West District CDC,"The South West Caregiver Support Fund is an interim one-time assistance of $500, to help caregivers defray self-care and caregiving expenses.",https://chidnast.sirv.com/SchemesSG/swcdc.jpg,https://southwest.cdc.gov.sg/what-we-do/for-caregivers/csf/,Caregivers,Financial assistance,"Mental health,Healthcare,Caregiver,Elderly,Children,Family,Low Income","burnout, tired, lonely, taking care of, sole caregiver, no rest, dementia, elderly, special needs, disabled, depression, mental health, schizophrenia, mentally ill, alzheimer, self harm, respite, workshop, skills training, cannot afford, need to pay, medical bills, see doctor, hospital checkup, no time, caregiving",,,,
Tabung Amal Aidifitri Trust Fund,Tabung Amal Aidilfitri Trust Fund,"TAA Trust Fund (Tabung Amal Aidilfitri Trust Fund) was founded in 1992 with a mission to help the poor, needy and the less fortunate. Additionally, TAA beneficiaries include patients from low-income families who suffer from chronic diseases and illnesses such as kidney failure, stroke, cancer and diabetes.",https://chidnast.sirv.com/SchemesSG/taa.jpg,https://taa.org.sg/apply/,"Kidney patients,Cancer patients,Stroke patients,Diabetes patients","Financial assistance for healthcare,Financial assistance for cancer,Financial assistance for diabetes,Financial assistance for dialysis","Low Income,Healthcare","diabetes, stroke, high blood sugar, heart disease",,,,
Financial Assistance,The Breadline Group,"Every month, our volunteers visit each “adopted” family, talking to them and finding out how they fare, providing food provisions and/or cash to supplement whatever public assistance they may be receiving.",https://chidnast.sirv.com/SchemesSG/breadline.jpg,https://www.breadlinegroup.org/,Low income families,"Financial assistance for daily living,Food","Low Income,Food","Need befriending, food, hungry, have not eaten, low income, poor",,,,
Prison Support Services – Kids In Play,The Salvation Army,"Kids In Play (PSS-KIP) works with children from 5 to 18 years of age who face parental incarceration. Partnering closely with relevant social services, we provide professional support to the families of incarcerated parents",https://chidnast.sirv.com/SchemesSG/salvationarmy.jpg,https://www.salvationarmy.org.sg/wwd-kids-in-play/,"Ex-offenders,Families of ex-offenders","Casework,Emotional care,Befriender services,Educational programmes","Family,Children,Ex-offender,Low Income,Education","free tuition, children of ex-offender, children of ex-convict, bonding activities, support group, befriender",,,,
The Straits Times School Pocket Money Fund,The Straits Times School Pocket Money Fund (SPMF),"To alleviate the financial burden faced by parents in providing for their children’s education (school fees, expenses, etc). Funds will also help children who are already facing difficulties in remaining in school to stay on.",https://chidnast.sirv.com/SchemesSG/stspmf.jpg,https://www.spmf.org.sg/primary-secondary-students,Children from low income families,Financial assistance for education,"Low Income,Education","Children, disabled, schoolchildren, need computer for school, need money for recess, no money to buy laptop, computer, schooling supplies",,,,
TOUCH Caregivers Support,TOUCH Community Services,Provide support and advice for caregiving of elders at home to support ageing in place. Care Line at 6804 6555.,https://chidnast.sirv.com/SchemesSG/touch.jpg,https://www.touch.org.sg/about-touch/our-services/touch-caregivers-support-homepage,Caregivers,"Caregiving advice,Referrals","Elderly,Caregiver,Mental Health","caregiver support, advice, ageing in place",,,,
TOUCH Youth Intervention,TOUCH Community Services,"Various programmes regarding cyber wellness issues such as buddy program, workshops, and individual counselling. TYI runs Help123, the National Cyber Wellness one-stop service for youth cyber wellness issues. Youths, parents, educators and schools may reach out to TYI counsellors via email (hello@help123.sg) or hotline (1800 6123123).",https://chidnast.sirv.com/SchemesSG/touch.jpg,https://www.help123.sg/hotline/,"Youths,Families","Youth programmes,Cyber wellness advice,Parenting help","Mental Health,Youth-at-Risk","gaming addiction, media usage, cyber wellness, cyber bullying",,,,
TOUCH Ubi Hostel (TUH),TOUCH Community Services,"TOUCH Ubi Hostel (TUH) offers a stay-in residential programme for adults with mild intellectual disabilities. Located in a housing estate, it provides an excellent training ground for the trainees to experience communal living with a flat-mate in a simulated environment.",https://chidnast.sirv.com/SchemesSG/touch.jpg,https://www.touch.org.sg/about-touch/our-services/touch-ubi-hostel-homepage,Adults with mild intellectual disabilities,Residential programme with employment training,"Residential programme,Employment training","hostel for adults with intellectual disabilities, hostel for adults with low IQ, training for adults with low IQ",,,,
SAFE Programme (Stop Abuse in Families),Trans Family Services,"TRANS SAFE Centre is a Family Violence Specialist Centre (FVSC). It aims to promote safe relationship in families by providing help to victims of abuse, persons who abuse and their families who are affected by the abuse.",https://chidnast.sirv.com/SchemesSG/trans.jpg,https://www.trans.org.sg/index,Facing abuse,Shelter,Family Violence,"Family violence, abusive spouse, husband hit, wife hit, domestic abuse",,,,
The Cuff Road Project,Transient Workers Count Too (TWC2),"Assistance for foreign workers. Free breakfast and dinner every weekday. On Saturday, the meal provided is lunch.",https://chidnast.sirv.com/SchemesSG/twc2.jpg,https://twc2.org.sg/what-we-do/the-cuff-road-project/,Migrant workers/foreign workers,Food,Migrant workers/foreign workers,"workplace accident, injured at work, employer abuse, migrant support group, no friends in singapore, bangladesh, india, myanmar, china, prc, malaysia, msia, burmese, construction worker, cleaner, no salary, no pay, worker sick, boss abuse, no food",,,,
Care Fund Programmes,Transient Workers Count Too (TWC2),"Assistance for foreign workers. Our programmes can be broadly classified into six main areas: transport, housing, medical care, legal costs, Dayspace, and others",https://chidnast.sirv.com/SchemesSG/twc2.jpg,https://twc2.org.sg/what-we-do/care-fund-programmes/,Migrant workers/foreign workers,"Transport subsidy,Housing,Legal aid,Financial assistance for healthcare,Referral,Casework",Migrant workers/foreign workers,"workplace accident, injured at work, employer abuse, migrant support group, no friends in singapore, bangladesh, india, myanmar, china, prc, malaysia, msia, burmese, construction worker, cleaner, no salary, no pay, worker sick, boss abuse, no food, no house",,,,
Tzu Chi Free Clinic,Tzu Chi Singapore,"The Tzu Chi Free Clinic provides free Internal Medicine, Traditional Chinese medicine (TCM), and dental services mainly to seniors living alone, low-income households, Tzu Chi’s aid beneficiaries as well as migrant workers.",https://chidnast.sirv.com/SchemesSG/tzuchi.jpg,https://www.tzuchi.org.sg/en/our-missions/medicine/traditional-chinese-medicine-free-clinic/,"Seniors living alone,Low income families,Migrant workers","Basic healthcare services,TCM","Healthcare,TCM",No money to see doctor,,,,
Ulu Pandan Stars,Ulu Pandan PAP Community Foundation (PCF) and Ulu Pandan Citizen Consultative Committee’s (CCC) – Community Development & Welfare Fund Subcommittee (CDWF),The programme collaborates with youth volunteers to benefit children with free tuition and courses from underserved families in Ulu Pandan.?,https://chidnast.sirv.com/SchemesSG/upstars.jpg,https://upstars.ulupandan.sg/home/,"Children,Children from low income families",Educational programmes,"Low Income,Education,Student Care","Free tuition, need tuition, education, no money for school",,,,
CREST - Community Resource Engagement and Support Team,Various agencies (coordinated by Agency for Integrated Care),"CREST serves as a community safety network for people with and/at risk of depression, dementia and other mental health conditions.

 It supports their caregivers with resources they need to continue to care for their loved ones at home and in the community. In your neighbourhood, you can approach the Community Outreach Teams which are driven by the social service agencies",https://chidnast.sirv.com/SchemesSG/aic.jpg,https://www.aic.sg/body-mind/dementia-support-referrals,"In need of mental healthcare,Caregivers","Casework,Social support","Elderly,Family,Caregiver","dementia, caregiver, mental illness, depression",,,,
Community Intervention Teams (COMIT),Various agencies (coordinated by Agency for Integrated Care),"The Community Intervention Teams (COMIT) provide needs assessments, counselling and psychosocial therapy for clients and caregivers. An individualised care plan will also be developed for you in collaboration with other health and social care partners.",https://chidnast.sirv.com/SchemesSG/aic.jpg,https://www.aic.sg/body-mind/dementia-assessment-counselling,In need of mental healthcare,"Psychological assessment,Mental illness support,Caregiver support","Mental Health,Elderly","caregiver support, mental illness, depression, dementia, schizophrenia, bipolar, mental health assessment, psychologist, psychiatrist",,,,
Viriya Counselling Hotline,Viriya Community Services,"A free counselling helpline for anyone who is facing some challenges in life. Including those feeling anxious and stressed during the Covid-19 pandemic.

 Contact at 6256 1311, Monday to Friday from 10am to 5pm.",https://chidnast.sirv.com/SchemesSG/viriya.jpg,https://viriya.org.sg/services/viriya-therapy-centre/,In need of mental healthcare,"Counseling,Mental wellness,COVID-19 support","Mental Health,COVID-19","covid-19, stress, mental wellness, anxiety, helpline, covid-19 support, mental health, Hotline, counselling",,,,
Viriya Children Medical Programme (VCMP),Viriya Community Services,Help and support for child who requires long term medical support and his/her family. VCMP works closely with the family to support the parents and caregivers in overcoming challenges to care and meet the needs of the family and also provide support to the siblings of the direct beneficiary to ensure that their care and developmental needs are not compromised due to more attention needed by the child with medical condition. Successful applicants are provided with S$100 worth of assistance per month and can be further supported by other VCS’ programmes and services.,https://chidnast.sirv.com/SchemesSG/viriya.jpg,https://viriya.org.sg/service/children-youth/,"Children,Youth,Low income","Casework,Financial assistance for healthcare","Children,Youth,Low Income,Healthcare","Casework, financial assistance, medical help, children with chronic illness, low income, long term illness",,,,
Viriya Elderly Medical Programme (VEMP),Viriya Community Services,"Help seniors with various medical conditions and who have low social and financial support. VEMP helps seniors cover their daily expenses. VEMP also helps the elderly cope with medical expenses including transport, TCM treatment and other consumables. Social work practitioners will work with eldercare agencies and hospitals to provide community care for the elderly. Case management services will also be provided to link the beneficiaries to the required community resources.",https://chidnast.sirv.com/SchemesSG/viriya.jpg,https://viriya.org.sg/service/seniors/,"Elderly,Low income","Casework,Financial assistance for healthcare","Elderly,Low Income,Healthcare","elderly, seniors, eldercare, medical subsidy, chronic health issues, no money, help with doctor, chronic illness, long term illness, need monet for medical costs",,,,
Viriya Mental Wellness Hub,Viriya Community Services,At Viriya Mental Wellness Hub (MWH) creates a caring community of individuals and families achieving good mental wellness and live a fulfilled life in the community.,https://chidnast.sirv.com/SchemesSG/viriya.jpg,https://viriya.org.sg/services/viriya-mental-wellness-hub/,In need of mental healthcare,"Support group,Specialist talks,Emotional support,Counselling",Mental Health,"group therapy, support group, mental wellness, depression, mood disorders, anxiety, Cognitive behavioural therapy, counselling",,,,
Gambling Recovery Intervention Programme (GRIP),We Care Community Services,"G.R.I.P. is a counselling treatment programme for persons with a gambling problem. The programme involves the individual, as well as the family members, in counselling and self-help groups.",https://timinone.sirv.com/Shared/SchemesSG-from-chidnast/WeCare.png,https://www.wecare.org.sg/addiction-gambling.asp,"Persons with gambling addiction,Gambling addicts",Counselling,"Debt,Family","gambling support group, problem gambling, always in debt, casino, debt problem, gambling addiction, addict recovery, owe money, cannot quit gambling, online betting, horse",,,,
WeCan Early Intervention Programme,WeCan EIP Singapore,"The WeCAN EIP programme was developed to meet the needs of young children on the autism spectrum and their families in Singapore. The programme develops a scalable intervention package that can be implemented across Singapore and beyond for children on the autism spectrum between the ages of 18mths and 6 years. It also provides autism specific intervention for young children with the diagnosis of autism, in order to help them gain functional and independent skills for more successful transition.",https://chidnast.sirv.com/SchemesSG/wecaneip.jpg,https://www.wecaneip.com/,Autism spectrum,"Educational programmes,Vocational training","Family,Special Needs,Children","my kid is autistic, autism spectrum, learning disability",,,,
Willing Hearts,Willing Hearts,"To provide daily meals, food and other support services to the underprivileged, the needy, and other marginalized members in Singapore, and to assist and guide them towards rehabilitating and reinstating themselves as useful members of our society.",https://chidnast.sirv.com/SchemesSG/willinghearts.jpg,https://willinghearts.org.sg/services,Need food support,Food,"Low Income,Food","Have not eaten, hungry",,,,
Career Matching Services,Workforce Singapore (WSG),"Access to quick career tips, career advice and guidance. MyCareersFuture portal to help you search and apply for jobs that match your skills. Career preparatory workshops, networking sessions and walk-in interviews to improve your job search chances.",https://chidnast.sirv.com/SchemesSG/wsg.jpg,https://www.wsg.gov.sg/career-services.html,"Retrenched,In need of job",Employment assistance,Work,"In need of a job, need to find a job fast. Jobless. Retrenched. Furloughed. Requires skills training.",,,,
Workfare Skills Support (WSS) Scheme,Workforce Singapore (WSG),"WSS encourages low wage workers to undertake training that leads to more impactful employment outcomes. Eligible individuals may receive: Training allowance for selected courses that individuals had paid for themselves, and a cash reward for completing training",https://chidnast.sirv.com/SchemesSG/wsg.jpg,https://www.wsg.gov.sg/programmes-and-initiatives/workfare-skills-support-scheme-individuals.html,"Low wage workers,Low income","Employment assistance,Financial assistance for low wage workers",Work,"Low income, upskill, low wage workers,training",,,,
Assistance,Yayasan MENDAKI,"Various education subsidies, bursaries, study loans, scholarships, sponsorships and awards.",https://chidnast.sirv.com/SchemesSG/mendaki.jpg,https://www.mendaki.org.sg/assistance-landing/,"Low income,Need education assistance,Need food support","Financial assistance,Food,Educational programmes","Low Income,Education","Preschool, tuition fee, NITEC, polytechnic, Malay Muslim students, university, tertiary, study loan",,,,
Various services,Yellow Ribbon Singapore,"We galvanise society to uplift ex-offenders through skills and career development, co-creating opportunities for their successful reintegration and contribute back to society. Programmes include employability skills training, industry skills training, work programme and job retention support",https://chidnast.sirv.com/SchemesSG/yellowribbon.jpg,https://www.yellowribbon.gov.sg/what-we-do,Ex-offenders,"Employment assistance,Vocational training","Ex-offender,Work,Employment","ex-convict social program, ex-convict need job, ex-convict skills training course, learning programme",,,,
YMCA,Young Men's Christian Association (YMCA),"Short term financial assistance, bridging fund for emergency situations, and employment training for persons with special needs",https://chidnast.sirv.com/SchemesSG/ymca.jpg,https://www.ymca.org.sg/what-we-do/organisational-profile/,"Low income,Low income families,Persons with special needs","Financial assistance for daily needs,Employment assistance for persons with special needs","Low Income,Special Needs,Family","Financial assistance, money for daily expenses, household needs, befriending",,,,
Citi-Tsao Foundation Financial Education Programme for Women,ILC Singapore (ILC-S),"The initiative aims to provide practical suggestions for understanding how money works and how women can take charge of their finances to become more financially independent and secure as they grow older.

The programme consists of a specially-tailored curriculum 12 weekly sessions of two hours each. Through these sessions, participants are taught about savings and planning for the long term, budgeting and investing.",https://tsaofoundation.org/images/siteimages/logo_ilcsingapore.gif,https://tsaofoundation.org/what-we-do/research-and-collaboration/programmes/Citi-Tsao,"Low-income women above 40 years of age whose family income ranges from $1,500 to $3,500 monthly",Financial adequacy course,"Low Income, Women","financial education, how to spend money, how to save money, can't save money, don't have enough mone",,,,
Public Assistance Programme,Singapore Buddhist Welfare Service,"- Individuals who are financially constrained or unemployed due to old age, sickness or disability, but are not eligible for government financial assistance.
- Low-income families with young children and/or family members who are elderly, disabled, sick or have special needs.
- Families which are adversely affected by unexpected circumstances, such as loss of breadwinner, permanent disability, etc.",https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcReWWxXONJJBK-0XaqnyguToxVNlhnTEN2Skg&s,https://sbws.org.sg/en/services-affiliates/social-welfare-and-community-services/public-assistance-programme/,"Low-income elderly, low-income families with young children or people with disabilities","Financial assistance, Food","Low-Income, Special Needs, Elderly, Family, Needy Students","buddhist, monthly allowance, needy students, sickness, disability, unemployed",,,,
Care Corner COMIT,Care Corner,"Care Corner COMIT is a programme; serving individuals aged >18; in Singapore; covering the region of Whole of Singapore; available online; specialising in Mental Health, Trauma, Caregiver support, Case Management; offering basic emotional support, mental health screening, counselling intervention, case management, family and caregiver support, outreach talks; Fees: Free; Mental health diagnosis required: No.",https://www.carecorner.org.sg/wp-content/uploads/2022/07/logo.png,https://www.carecorner.org.sg/services/comit/,"Persons with mental health issues, Caregivers, Young adults","Counselling, Casework, Mental health assessment and treatment, Psychological support/Psychotherapy, Support groups","Mental Health, Caregiver Support","mental health support, caregiver assistance, counselling services, psychosocial therapy, community intervention",,,Blk 159 Toa Payoh Lorong 1 #01-1530,"COMIT ReferralPlease fill up the form using the link below to register for yourself or refer a client: [https://carecorner-ccu.my.salesforce-sites.com/COMITreferral](https://carecorner-ccu.my.salesforce-sites.com/COMITreferral)For any other enquiry, email [ccu.admin@carecorner.org.sg](mailto:ccu.admin@carecorner.org.sg)"
Care Corner Counselling Centre (CCCC),Care Corner,"""Care Corner Counselling Centre (CCCC) is a programme; serving individuals aged No age limit; in Singapore; covering the region of Central Singapore; available online; specialising in Mental wellness, Depression
Anxiety, Trauma recovery, PTSD, Grief and loss, Couple Therapy,Individual Counselling, Family Therapy, Group Therapy (married couples & married women facing infidelity) ; offering basic emotional support, mental health screening, counselling intervention, case management, family and caregiver support, outreach talks; Fees: Paid (from $120 per session). Subsidy available but subject to case-by-case basis.; Mental health diagnosis required: No.""",https://www.carecorner.org.sg/wp-content/uploads/2022/07/logo.png,https://www.carecorner.org.sg/services/counselling-centre/,"Individuals, Couples, Families, Persons with mental health issues","Counselling, Psychological support/Psychotherapy, Emotional care, Support groups","Mental Health, Counselling and Emotional Support, Family","counselling, emotional support, family therapy, trauma recovery, mental health assistance",6353 1180,cccc@carecorner.org.sg,Blk 62B Lorong 4 Toa Payoh #02-143,
Care Corner INSIGHT,Care Corner,"Care Corner INSIGHT is a programme; serving individuals aged 13 to 25; in Singapore; covering the region of North Singapore; available online; specialising in Youth mental health, Youth counselling, youth mental wellness workshops; offering basic emotional support, mental health screening, counselling intervention, family and caregiver support, outreach talks; Fees: Free; Mental health diagnosis required: No.",https://www.carecorner.org.sg/wp-content/uploads/2022/07/logo.png,https://www.carecorner.org.sg/services/insight/,"Youth, Young adults, Families","Mental health assessment and treatment, Counselling, Support groups, Educational programmes","Youth, Mental Health, Family","youth mental health, counselling services, mental health screening, creative activities, growth mindset",6978 4217,insight@carecorner.org.sg,6 Woodlands Square #03-01 Woods Square Tower 2,
Gerontological Counselling Unit (GCU),Care Corner,"""Gerontological Counselling Unit (GCU) is a programme; serving individuals aged >55; in Singapore; covering the region of Central and North Singapore; specialising in Death of loved ones
Loss of health, Loss of relationship e.g. dispute, change in place of residence, Loss of mobility/freedom, Loss of job security; offering basic emotional support, mental health screening, counselling intervention, family and caregiver support, outreach talks; Fees: Free; Mental health diagnosis required: No; Note: If client has cognitive impairement or Dementia, GCU doesn't provide counselling.""",https://www.carecorner.org.sg/wp-content/uploads/2022/07/logo.png,https://www.carecorner.org.sg/services/seniors-counselling-mental-health/,"Elderly, Persons with mental health issues, Caregivers","Counselling, Emotional care, Psychological support/Psychotherapy, Support groups, Helpline services","Elderly, Mental Health, Caregiver Support","gerontological counselling, mental health seniors, emotional support elderly, dementia awareness, caregiver assistance",6258 6601,icm.gcu@carecorner.org.sg,Blk 62B Lor 4 Toa Payoh #02-121,"**How can I refer someone I know to CREST? **If you know a relative, friend, colleague or neighbour who is in need of mental health support, express your concern and encourage them to contact their nearest CREST. You may also contact CREST if you observe signs such as:- Forgetting the way home n- Isolation at home nContact us at 6258 6601 or [tp.crest@carecorner.org.sg](mailto:tp.crest@carecorner.org.sg) for more information."
Care Corner Counselling Centre (Children Counselling),Care Corner,"Care Corner Counselling Centre (Children Counselling) is a programme; serving individuals aged 4 - 12; in Singapore; covering the region of Central Singapore; specialising in Play Therapy - Using different mediums of play (e.g. art, puppets, sandtray); offering basic emotional support, counselling intervention, family and caregiver support; Fees: Paid (from $120 per session). Subsidy available but subject to case-by-case basis.; Mental health diagnosis required: No.",https://www.carecorner.org.sg/wp-content/uploads/2022/07/logo.png,https://www.carecorner.org.sg/services/counselling-centre/,Children,"Counselling, Psychological support/Psychotherapy, Emotional care, Support groups","Mental Health, Counselling and Emotional Support, Family","children councelling, kid councelling",6353 1180,cccc@carecorner.org.sg,Blk 62B Lorong 4 Toa Payoh #02-143 Singapore 312062,
Care Corner CREST,Care Corner,"""Care Corner CREST is a programme; serving individuals aged >18; in Toa Payoh Town; covering the region of Central Singapore; specialising in First Mental Health Touch Point (Mild symptoms, no counselling)

Senior-related Mental Health (i.e. Dementia, Depression, Grief and Loss), Mindful Steps, Caregiver Support Group for persons with Dementia
; offering basic emotional support, mental health screening, case management, family and caregiver support, outreach talks; Fees: Free; Mental health diagnosis required: No.""",https://www.carecorner.org.sg/wp-content/uploads/2022/07/logo.png,https://www.carecorner.org.sg/services/crest/,"Persons with mental health issues, Elderly with dementia, Caregivers","Mental health assessment and treatment, Emotional care, Referral services, Educational programmes, Support groups","Mental Health, Counselling and Emotional Support, Referral and Information Services","mental health, counselling, casework, dementia",6258 6601,tp.crest@carecorner.org.sg,"SPACE@214 (Blk 214 Lor 8 Toa Payoh, #01-745, Singapore 310214), Toa Payoh Blk 62B (Blk 62B, Lor 4 Toa Payoh, #02-121, 312062)",Contact via phone (6258 6601) or email (tp.crest@carecorner.org.sg) for referral and assessment.
Care Corner Strengthening Families Programme @ FSC (Eunos),Care Corner,"Care Corner Strengthening Families Programme @ FSC (Eunos) is a programme; serving individuals aged >21; in Punggol, Pasir Ris, Tampines; covering the region of East Singapore; available online; specialising in Relationships - Family, Marital, Marriage, Divorce ONLY; offering basic emotional support, counselling intervention, outreach talks; Fees: Free; Mental health diagnosis required: No.",https://www.carecorner.org.sg/wp-content/uploads/2022/07/logo.png,https://www.carecorner.org.sg/services/family-counselling-support/,Families,Counselling,"Family, Counselling and Emotional Support","counselling, family conflict mediation, grief support, bereavement support",6258 0020,fam.en@carecorner.org.sg,21 Eunos Crescent #01‑2983 Singapore 400021,Call 6258 0020 or email fam.en@carecorner.org.sg to request an appointment and assessment
Care Corner Strengthening Families Programme @ FSC (Woodlands),Care Corner,"Care Corner Strengthening Families Programme @ FSC (Woodlands) is a programme; serving individuals aged >21; in Woodlands, Sembawang; covering the region of North Singapore; available online; specialising in Relationships - Family, Marital, Marriage, Divorce ONLY; offering basic emotional support, counselling intervention, outreach talks; Fees: Free; Mental health diagnosis required: No.",https://www.carecorner.org.sg/wp-content/uploads/2022/07/logo.png,https://www.carecorner.org.sg/services/family-counselling-support/,Families,Counselling,"Family, Counselling and Emotional Support","counselling, family conflict mediation, grief support, bereavement support",6978 4090,fam.wl@carecorner.org.sg,786B Woodlands Drive 60 #01‑97 Singapore 732786,Call 6978 4090 or fam.wl@carecorner.org.sg to request an appointment and assessment
Care Corner Toll-Free Counselling Hotline (Mandarin) 关怀800辅导热线,Care Corner,"""Care Corner Toll-Free Mandarin Counselling Hotline is a programme; serving individuals aged No age limit; in Singapore; covering the region of Whole of Singapore; available online; specialising in Family dynamics issues, Grief and loss , Pre-marital and marital issues, Self-harm, Suicidal thoughts; offering basic emotional support, counselling intervention; Fees: Free; Mental health diagnosis required: No; Note: Mandarin only, anonymous.""",https://www.carecorner.org.sg/wp-content/uploads/2022/07/logo.png,https://www.carecorner.org.sg/services/toll-free-counselling-hotline/,General public,"Counselling, Emotional care, Mental health assessment and treatment, Psychological support/Psychotherapy, Support groups","Mental Health, Counselling and Emotional Support","counselling hotline, mental health support, emotional first aid, grief support, family dynamics issues, relationship challenges",1800 3535 800,,,
Caregiving Programmes,Care Corner,"Caregiving ProgrammesSpecially curated courses to share practical tips with caregivers of persons living with dementiaCaregiving Foundational Course — ‘Embarking the Journey’A foundational 5-session course curated for new caregivers. The sessions aim to equip caregivers on:- Understanding dementian- Managing challenging behavioursn- Purposeful and meaningful engagementn- Communicating with persons living with dementian- Self-care for caregiversnHeld fortnightly across 3 months, the sessions are 1.5 hours in duration and held bilingually in English and Mandarin.To register, click here [https://forms.office.com/r/n3pCE6bz4C](https://forms.office.com/r/n3pCE6bz4C)There is a registration fee of $10. Participants are encouraged to commit to at least 3 out of 5 sessions.",,https://www.carecorner.org.sg/services/caregiver-support/,"Caregivers, Elderly, Persons with disabilities (PWDs), Persons with chronic or terminal illnesses","Counselling, Emotional care, Skills training and job matching, Respite care/Caregiver support, Educational programmes","Caregiver Support, Elderly, Special Needs","caregiver training, dementia support, caregiving courses, self-care for caregivers, managing challenging behaviours",6258 6601,tp.cs@carecorner.org.sg,,
Day Care Centres - Senior and Dementia,Care Corner,"Our day care centres provide a full day programme for seniors who are suitable for centre-based care setting and require supervision while their caregivers are at work or need some time off.Our safe and supportive environment gives caregivers peace of mind knowing that their loved ones are well-taken care of and meaningfully engaged with us during the day.We provide two types of day-care services:- **Senior Day Care: **A safe daytime care centre for seniors with social and recreational activities, meals and transportation (if required)n- **Dementia Day Care**: A daytime custodial care for seniors with dementia with a focus on slowing down the progression of dementia through nutrition, physical exercises, and brain-stimulating activitiesn",,https://www.carecorner.org.sg/services/day-care-centres-senior-dementia/,"Elderly, Persons with disabilities (PWDs), Caregivers","Respite care/Caregiver support, Healthcare (general/basic services), Emotional care","Elderly, Caregiver Support, Chronic or Terminal Illness Support","senior day care, dementia care, caregiver support, elderly activities, respite services",6971 1190,scctpe@carecorner.org.sg,Blk 261A Toa Payoh East (Apex) #01-03,"**What are the fees? Are there any government subsidies?**nOur estimated service fees for Senior Day Care is between $1,276 and $1,562 per month before government subsidy. This cost excludes additional services such as initial assessment, rehabilitation, and transport.For government subsidies, we follow the Ministry of Health’s National Means Testing guidelines."
Pre-School Support,Care Corner,"Every child deserves a good start in life and equitable opportunities to achieve their fullest potential. Yet, research has shown that children from underprivileged families have poor access to resources and networks, and achievement gaps can start as early as from birth. By investing in early preventive and developmental support for preschool aged children, we can address issues of social inequality and mobility, and make a lifelong difference.Care Corner aims to provide holistic support for children from underprivileged families as early as possible through our two main programmes:- [**Circle of Care**](https://www.carecorner.org.sg/services/consultancy-professional-development/): Supported by Lien Foundation and Quantedge Foundation to pioneer and advocate for child-centric, evidence-informed practice in preschoolsn- [**KidSTART**](https://www.carecorner.org.sg/services/social-support/): Appointed as the Social Service Agency anchoring KidSTART in the Woodlands and Sembawang regions, to provide support to children 6 years and below from low-income familiesn",,https://www.carecorner.org.sg/services/consultancy-professional-development,"Children, Low income families","Educational programmes, Financial assistance for education","Children, Low Income, Education Support","preschool support, early childhood education, low income families, child development programs, educational assistance",6835 0921,circleofcare@carecorner.org.sg,Blk 346 Ang Mo Kio Ave 3 #01-2280,
Care Corner Home Care,Care Corner,"**Care Corner Home Care** supports frail, home-bound or bedridden seniors in their Activities of Daily Living (ADL).Our team of trained care professionals brings **specialised private nursing care** and** post-hospital care** to our seniors’ home. This makes it convenient for them to continue receiving care and medical attention from the comfort of their homes.",,https://www.carecorner.org.sg/services/seniors-home-care/,"Elderly, Persons with disabilities (PWDs), Families","Healthcare (general/basic services), Respite care/Caregiver support, Emotional care","Elderly, Healthcare, Caregiver Support","home care, elderly support, nursing care, activities of daily living, post-hospital care",6264 0262,homecare@carecorner.org.sg,Blk 131 Lorong 1 Toa Payoh #01-01,"**What are the fees? Are there any government subsidies?**Our estimated service fees are between $35 (hourly fee for Home Personal Care) and $290 (per session fee for Home Medical) before government subsidy. This cost excludes additional items such as medical consumables.For government subsidies, we follow the Ministry of Health’s National Means Testing guidelines.**How do I apply for the government subsidy?**Please speak with a medical social worker, your doctor or our social worker who can help you with referrals and the application process.You can also visit the [Agency for Integrated Care (AIC) website](https://www.aic.sg/care-services/e-care-locator) for application details."
