Scheme,Agency,Description,Image,Link,Who's it for,What it gives,Scheme Type,search_booster,phone,email,address,How to apply
Brighthill Evergreen Home,Brighthill Evergreen Home,"At Bright Hill Evergreen Home, the residents are referred to us from Agency of Integrated Care. Most of our residents are either wheelchair-bounded or bedridden. They are usually between 70-80 years old and come from low-income families requiring financial assistance. On average, they stay more than 5 years with us.Our goal is to provide the best for our residents that enhances their quality of life and overall wellbeing.",,https://www.bheh.org/services/clinical-services/,,,"Seniors , Nursing Homes",,6459 3492,enquiry@bheh.org,100 Punggol Field,"n## STARTING THE PROCESSnTo start the application process, please consult a medical social worker (herein known as referring MSW) at the hospital or polyclinic that your loved one is receiving treatment at, for an assessment and to explore care options.If assessed to be suitable for nursing home placement, the referring MSW will assist you to submit an application to AIC. Medical, nursing, social and financial assessments will be required to support the application. You may also indicate your preference for location, subject to availability.n## ASSESSING APPLICATIONnUpon receiving the referral from AIC, we will arrange to assess the nursing needs of the elderly either via zoom and/or onsite meetings. If elderly is assessed suitable, our MSW will then arrange for a face to face meeting with family spokesperson(s) for financial counselling and to provide information about our services and environment.Kindly note that a meeting with our MSW does not confirm admission. After the meeting, our MSW will submit a preadmission report to our Admissions Committee for final evaluation.&nbsp;n## ACCEPTANCE RESULTSnWe will update the result of the evaluation via the referring MSW, who will be responsible for updating the spokesperson the outcome.When accepted, we will update your referring MSW, and he/she will work with you for the details and transport arrangements to transfer your loved one over to our nursing home on a predetermined date."
Grace Lodge Nursing Home,Grace Lodge Nursing Home,"Grace Lodge was set up by Singapore Buddhist Welfare Services (SBWS) in 1985, at 105 Punggol Road, to provide shelter and care for destitute, elderly females. In 1988, when Grace Lodge registered with the Registry of Societies as a charity, it became an affiliate of SBWS, for providing residential care to needy, elderly femalesGrace Lodge was officially opened on 16 March 1986, by the late Mr Ong Teng Cheong, who was the Second Deputy Prime Minister then. In 2014, Grace Lodge moved into Fu Hui Link, where its bed capacity was expanded to 300 for both female and male residents. Fu Hui Link, the brainchild of Venerable Kuan Yan (President of SBWS), is an integrated community hub, which also houses facilities for infant care, childcare, student care and day care for the elderly.",,https://gracelodge.org.sg/about-us/,,,"Seniors , Nursing Homes | Mental Health , Dementia | Seniors , Residential Homes",,6715 8870,enquiry@gracelodge.org.sg,Fu Hui Link @ Level 6 to Level 10\n19 Compassvale Walk,
Inpatient Services,Kwong Wai Shiu Hospital,"Our nursing homes focus on providing long-term medical and nursing care for the elderly who do not have caregivers to look after them in their homes. Since 2013, we have been providing respite care to patients who need short-term nursing care.",,https://www.kwsh.org.sg/service/inpatient/,,,"Seniors , Nursing Homes",,6422 1238,admission@kwsh.org.sg,705 Serangoon Road,"Admission is by referral from Medical Social Workers of acute hospitals or polyclinics through the&nbsp;[**Agency for Integrated Care (AIC)**](http://www.aic.sg/), which is a centralised government agency that manages the availability of Voluntary Welfare Organisations (VWO) nursing homes in Singapore.- If you or your loved ones are already hospitalized, please speak to the Social Worker at the respective Hospital. Alternatively, you may speak to the Social Worker at&nbsp;your nearest Polyclinic for assistance.n- The Social Worker at these places will assist you in submitting an application to&nbsp;AIC which will then assess what is best-suited for you or your loved ones and thereafter locate a service provider near you.n- For more information on care planning, you may visit the [**AIC **](http://www.aic.sg/)website.n- For more information about our Hospital, please contact our Admission Office at&nbsp;[**6422 1238**](tel:64221238)&nbsp;or email us at&nbsp;[**admission@kwsh.org.sg**](mailto:admission@kwsh.org.sg)nn## ChargesnTo view the full list of inpatient charges, click [**here**](https://www.kwsh.org.sg/ourservices/#charges)**.**"
Ju Eng Home for Senior Citizens,Ju Eng Home for Senior Citizens,"The Home provides up to 522 beds for full residential care and is equipped with modern facilities for the physical, emotional and spiritual well-being of the elderly. \n\nIt houses a large reception hall, recreational &amp; dining rooms, with facilities for dormitory-style living, occupational therapy, physiotherapy, medical consultation and a dispensary. The Home also conducts regular Sunday chapel services for residents and staff.\n\nRehabilitative services are carried out for our residents, reinforced by maintenance therapy to prevent deterioration. Qualified medical and nursing staff, including the services of a psychogeriatrician, are on hand to manage residents with chronic medical conditions.\n\nRecreational and social activities are planned by dedicated staff and volunteers to enable the residents to keep in touch with their social and physical environment.\n\n**Ju Eng Home** provides value-added residential services &amp; care for the elderly.",,https://juenghome.org.sg/en/services-and-programmes,,,"Seniors , Nursing Homes",,6484 6890,juenghome@jeh.org.sg,205 Jalan Kayu,
Moral Home for the Aged Sick,Moral Home for the Aged Sick,"Moral Home is a nursing home with 235 beds capacity, out of which 35 are dedicated to residents with dementia.&nbsp; We strive to facilitate ageing gracefully in the community. To achieve this, the Nursing Home focus on person-centered care approach that supports and caters to the medical, physical, psychosocial and emotional aspects of our residents in a safe and tranquil environment.Aside from quality long term care, the team has introduced cognitively engaging and therapeutic activities, which are popular with our residents.&nbsp; These include individual/group based sensory stimulation activities like drumming, music, food and art craft. \n\nSince early 2023, with Safe Management Measures (SMM) in place, the care team has gradually reintroduced all-time favorite activities like theme-based outings and weekend social interaction with YOLDEN and resident volunteer group - Moral Angels. All care staff in MH are required to be CPR / AED / BCLS trained and certified. &nbsp;All staff participates in pandemic and fire preparedness drills at least twice yearly.&nbsp; The Home ensures its staff receives continual professional upgrading throughout their employ with the Home.",,https://moral.com.sg/services,,,"Seniors , Nursing Homes",,6442 2268,info@moral.com.sg,No. 1 Jalan Bilal (Off Bedok Road),[Download Admission Policy](https://moral.com.sg/web/binary/download_document)
MWS Bethany Nursing Home – Choa Chu Kang,MWS Bethany Nursing Home – Choa Chu Kang,"Seniors who need help with daily living activities receive 24/7 residential care and customised rehabilitation at MWS Bethany Nursing Home – Choa Chu Kang.&nbsp;Our Nursing Home also offers short-term respite care for caregivers who require a break.Our Aims- Provide a homely, dementia-friendly environment and family-like community for the chronically ill and frail who need long-term nursing and daily care in a residential settingn- Improve residents’ mobility through guided physiotherapyn",,https://mws.sg/centre-location/mws-bethany-nursing-home-choa-chu-kang/,,,"Seniors , Nursing Homes",,6314 1580,MWSbnh@mws.sg,9 Choa Chu Kang Ave 4,
MWS Nursing Home – Yew Tee,MWS Nursing Home – Yew Tee,"Seniors who need help with daily living activities receive 24/7 residential care and customised rehabilitation at&nbsp;MWS Nursing Home – Yew Tee.&nbsp;Our Nursing Home also offers short-term respite care for caregivers who require a break.Our Aims- Provide a homely, dementia-friendly environment and family-like community for the chronically ill and frail who need long term nursing and daily care in a residential settingn- Improve residents' mobility through guided physiotherapyn",,https://mws.sg/centre-location/mws-nursing-home-yew-tee/,,,"Seniors , Nursing Homes",,6568 9200,MWSnhyt@mws.sg,51 Choa Chu Kang North 6,
Ren Ci Nursing Home,Ren Ci Nursing Home,"Ren Ci’s nursing homes represent our foray into the heartlands, with nursing homes located in Bukit Batok, Ang Mo Kio and a third nursing home slated to open in Woodlands in early 2024. They provide long term residential care for seniors who are mostly wheelchair-bound or bedridden, with multiple illnesses requiring daily nursing needs. They are generally from low socio-economic backgrounds, with high social and emotional support needs. We have dedicated dementia wards for residents who require such specialised care.In addition to nursing care, we also provide different therapeutic activities including personalised active rehabilitation to improve or maintain the functional abilities of our residents as much as possible. We also bring in volunteers who conduct various activities such as hair cutting services, befriending, birthday celebrations, games and performances. Spiritual support for the major religions is also provided to residents in partnership with various religious organisations.",,https://www.renci.org.sg/Our-Services/Nursing-Home,,,"Seniors , Nursing Homes",,,,10 Ang Mo Kio Ave 8,"Admission to any Ren Ci nursing home is by referral through the Agency for Integrated Care (AIC), a centralised government agency that monitors the availability of beds across all ILTC (Intermediate and Long Term Care) facilities in Singapore.To apply for admission, you will need to consult a social worker at the hospital or polyclinic, and they would assist you in submitting an application to AIC.Should your application be deemed suitable, both nursing and social assessments will be conducted. Please note that a copy of the total household income (where the applicant is registered under) and identification are required for the application. We will then arrange for the transfer.Upon arrival, our friendly nursing home staff will orientate the resident and accompanying next-of-kin as well as introduce them to their fellow residents.Please click [Agency for Integrated Care](http://www.aic.sg)&nbsp;to read more about the various types of eldercare services available.We currently have two nursing homes at Bukit Batok and Ang Mo Kio, with a third nursing home in Woodlands slated to begin operations in early 2024. For more information on each nursing home, click the links below:[https://www.renci.org.sg/Our-Services/Nursing-Home/Ren-Ci-Bukit-Batok-St-52](https://www.renci.org.sg/Our-Services/Nursing-Home/Ren-Ci-Bukit-Batok-St-52)[https://www.renci.org.sg/Our-Services/Nursing-Home/Ren-Ci-Ang-Mo-Kio](https://www.renci.org.sg/Our-Services/Nursing-Home/Ren-Ci-Ang-Mo-Kio)[https://www.renci.org.sg/Our-Services/Nursing-Home/Ren-Ci-Woodlands](https://www.renci.org.sg/Our-Services/Nursing-Home/Ren-Ci-Woodlands)"
Singapore Christian Home,Singapore Christian Home,"Singapore Christian Home (SCH) is a 240-bed nursing home licensed by the Ministry of Health. Founded in 1960 and registered in 1977, SCH is known in the healthcare community for accepting difficult and challenging cases that are generally refused by other institutions.&nbsp;We are the **only** nursing home in Singapore to have a dedicated ward for medically fragile Children and Young Persons (CYP) in response to a pressing need in the community.",,https://www.schome.org.sg/our-services/care/,,,"Seniors , Nursing Homes",,6831 5161,enquiry@schome.org.sg,20 Sembawang Crescent,
Society for the Aged Sick,Society for the Aged Sick,"At Society for the Aged Sick (SAS), we provide residential and respite care services to people in need of daily skilled nursing care and/or assistance in activities of daily living and who cannot be cared for at home, particularly the less privileged.",,https://www.societyagedsick.org.sg/services-admissions/,,,"Seniors , Nursing Homes",,6922 6222,,No. 130 Hougang Avenue 1,
St Andrew's Nursing Home,St Andrew's Nursing Home,"St Andrew's Nursing Home currently operates seven nursing homes in Buangkok, Henderson, Queenstown, Taman Jurong, Aljunied and Tampines north, alongside St John's - St Margaret's Nursing Home, a service of St Andrew's Mission Hospital.Altogether we will provide more than 2,000 nursing home beds, delivering a holistic and person-centred care to the residents in a supportive environment.",,https://www.sanh.org.sg/our-facilities/our-nursing-homes/,,,"Seniors , Nursing Homes",,6303 6800,anh_enquiries@sanh.org.sg,5 Aljunied Walk,
Sunlove Home,Sunlove Home,"Sunlove Home provides quality residential and rehabilitation through a holistic approach for persons requiring psychiatric and general nursing care. The programme includes nursing, medical, rehabilitative therapy and developing the functional abilities of the residents,&nbsp; so that they are able to carry out simple daily tasks such as maintaining personal hygiene and independent living skills.",,https://sunlove.org.sg/nursing-home-services/,,,"Seniors , Nursing Homes",,6387 3548,sunlovehq@sunlove.org.sg,70 Buangkok View,Referral is required through the Agency for Integrated Care (AIC). You may approach the social worker team at the hospitals or polyclinics and they may assist you in submitting your application to AIC. Government subsidies are available for eligible applicants who meet the national means test criteria. Please [contact us](https://sunlove.org.sg/contact-us-2-3/) to find out more.
Thye Hua Kwan Nursing Home @ Hougang,Thye Hua Kwan Nursing Home @ Hougang,"Thye Hua Kwan Nursing Home @ Hougang can serve up to 285 residents and at least 114 of these are dementia patients. We believe in providing quality of life for aging Singaporeans, striving to facilitate ageing in place in the community. To achieve that, the Nursing Home considers all psychosocial, physical, medical and emotional aspects of our clients and create a tranquil, person-centred and safe environment for them.\nWith our mission “To serve Mankind”, Thye Hua Kwan endeavours to help anyone who needs help with full respect to their race, creed, language, culture and religion, to assist them in every way possible.",,https://www.thknh.org.sg/our-services/thk-nursing-home-hougang/,,,"Seniors , Nursing Homes",,6812 9840,enquiry@thknh.org.sg,48 Hougang Avenue 8,"<h4>Q. How do we admit our loved ones into a nursing home?</h4>- Referrals are initiated by the multidisciplinary team (comprises of doctors, nurses, physiotherapists, occupational therapists and social workers) from the hospitals, polyclinics or other institutions through the Integrated Referral Management System (IRMS).n- If patient is currently hospitalized, family members can approach a Medical social worker from the Hospital to assist with the referral.n- In the event if patient is at home or in another private nursing home, and if he/she has an outpatient appointment with a specialist in a hospital / polyclinic, family members can also approach the respective sources for assistance.n- Agency for Integrated Care (AIC) will assign the bed to the patient, in accordance to the nursing home beds availability.n<h4>Q. What is the criteria to qualify for a nursing home placement?</h4>- Person who requires nursing care as a result of their physical disabilities or medical conditions.n- Person whose functional status and care needs falls under Category 2, 3 or 4 (assessed by healthcare professionals using the Resident Assessment Form (RAF))n- Person has exhausted all other possible care arrangements and is not able to be cared at home by community providers.n- The individual must pass the means test for healthcare subsidies conducted by Ministry of Health.n<h4>Private Residents</h4>- Private applicants do not need to go through Agency for Integrated Care. We accept applicants through walk-in.n- Applicants will be assessed by a Registered Nurse and MSW. Acceptance of case is subject to Head of Nursing / CEO’s approval.n"
Animal-Assisted Interactions SG,Animal-Assisted Interactions SG,"Singapore’s first social enterprise specialising in animal-assisted interactions and interventions. We seek meaningful and life-giving interactions between humans and animals, working and growing towards better, healthier communities, together.**Our Services**We provide a range of animal-assisted programmes and services for different target populations. We also offer customisable programmes, designed in collaboration with your team, to meet your specific needs or the needs of your beneficiaries.**Read with Rapha**Improving the reading and communication skills of children through canine-assisted reading.[learn more](https://aai.sg/services/read-with-rapha/)**Take a Paws**Manage anxiety and stress in workplaces, schools, universities and more.[learn more](https://aai.sg/take-a-paws/)**Sunshine canines**Bringing our canine teams to hospitals, senior day care centres, facilities, or nursing homes.[learn more](https://aai.sg/sunshine-canines/)**KinderPaws**Teaching children about dog bite prevention, how to be safe around unfamiliar dogs, and how to be kind and respectful towards animals and people[learn more](https://aai.sg/kinderpaws/)**Dogtors on Call**bringing our caring canine dogtors to healthcare settings to improve the mental and emotional well-being of our healthcare workers, patients and caregivers[learn more](https://aai.sg/dogtors-on-call/)**Wooffice Wellness**Take a break from the usual lunch talks and workshops and instead spend quality time with our wonderful canine friends. Our well-trained Caring Canines are here to provide comfort and joy, and participants can freely interact with them in various ways.Take a break from the usual lunch talks and workshops and instead spend quality time with our wonderful canine friends. Our well-trained Caring Canines are here to provide comfort and joy, and participants can freely interact with them in various ways.[learn more](https://aai.sg/wooffice-wellness/)**Puppy Prep Course (With Puppy Colours Academy)**For aspiring Caring Canine Teams! This course is designed for pup owners looking to involve their puppy or adolescent dog in programmes by aaisg![learn more](https://aai.sg/puppy-prep-course/)",,https://aai.sg/,,,"Social Enterprises , Other Business Services",,,info@aai.sg,,
Caring Fleet,Caring Fleet,We aim to provide specialised and dedicated accessible transportation for wheelchair-users and people who have limited mobility.,,https://caringfleet.com/,,,"Social Enterprises , Other Business Services",,6281 8118,enquiry@caringfleet.com,"Blk 211, Hougang Street 21\n#01-309 (2nd level)",
MTFA Ihsan Casket,Muslim Trust Fund Association,"n## Every time you engage MTFA Ihsan Casket, you are providing FREE burial for another Muslim\nAs MTFA's first social enterprise, MTFA Ihsan Casket (IC) aims to offer funerary services to the public. Proceeds are used to subside the burial costs of unclaimed bodies and deceased members of low-income families.**Muslim funerals**We are a one-stop service provider for Muslim funerals, covering everything from ghusl to provision of transport.[VIEW PRICING](https://ihsancasket.com/muslim-funerals/)",,https://www.mtfa.org/ihsan-casket,,,"Social Enterprises , Other Business Services",,6747 7556,info@mtfa.org,5 Mattar Road,
SteppingStones,SteppingStones,"SteppingStones is a social enterprise set up as an adoption agency committed to journeying with you throughout your adoption process.<h1>What we can do for you</h1>Providing a holistic approach in supporting you in your adoption journey.n## Getting to know you and your needs\nAs our focus as a child-centric agency, we also would get to know you and your needs, concerns, fears, desires and wants for an adoptive child.n## Providing information on the process\nWe equip you with information on the process, from the pre-adoption briefing, to the legal processes and finally when the adoption is granted, to post placement services.n## Facilitating child adoption\nProviding matching of child-adoptive parent services for local and foreign child.n## Continuing support after adoption\nWe facilitate adoption support groups as well as conducting baby care workshops, disclosure counselling and parenting workshops. We offer individual as well as family counseling.&nbsp; For countries that requires additional assessments, we conduct post placement reports.n## Panel of advisors\nWe have on board a team to assist us, which includes- Legal Counseln- Pediatrician&nbsp;n- Child Medical Insurancen- Caregiving Servicesn",,https://steppingstones.com.sg/,,,"Family Services , Parenting , Adoption | Social Enterprises , Other Business Services",,8878 9804,admin@steppingstones.com.sg,"3779 Jalan Bukit Merah, #02-01 Bukit Merah Community Hub",
GEM New Start Centre,GEM New Start Centre,"GEM New Start Centre Limited (GEM NSC) is a non-profit that reaches out to young women aged 18-25 years old, who have experienced psychological distress, familial issues, incarceration or are placed under a probation order.
The foundation of GEM NSC is the belief that every woman, regardless of their background, has the potential to shine and display their true beauty while empowering them to live a purposeful and fulfilling life.",,https://gemnsc.com/,,,"Children and Youth , Others (Children and Youth)",,6266 3310,admin@gemnsc.com,No 2 Springleaf View,
Project 180 @ Bukit Batok,Fei Yue,"Project 180 @ Bukit Batok (A Youth Service by Fei Yue Community Services) is an &nbsp;Integrated Service Provider (ISP) appointed by MSF to run a suite of MSF-funded programmes for at-risk youths and young offenders below 21 years of age. Our centre serves the boundary of Bukit Batok, Bukit Panjang and Choa Chu Kang.Programmes conducted include:**Core Programmes**- Enhanced STEP-UPn- Triage Systemn- Guidance Programmen**Specialised Programmes**- Theft Intervention Programmen",,https://fycs.org/project-180-bukit-batok/,,,"Children and Youth , Others (Children and Youth)",,9170 8831,isp@fycs.org,Blk 186 Bukit Batok West Ave 6 #01-181,
#NAME?,"A first-of-its-kind secular, co-ed weekday residential model that provides after-school academic and holistic support, =DREAMS aspires to create a child-centric system of care that empowers children from low-income households to aspire towards their dreams and break out of poverty, allowing them to access and dream of a future where they are not limited by family circumstances. The mission of =DREAMS is: Empowering our youth to attain social mobility through holistic developmental support.",#NAME?,,https://dreamssingapore.org.sg/admission,,,"Children and Youth , Others (Children and Youth)",,6992 2838,admissions@dreamssingapore.org.sg,99 Haig Road,"Interested parents/guardians and children are invited to visit our Campus to find out more. For enquiries related to admissions, please contact us at:&nbsp;[**admissions@dreamssingapore.org.sg**](mailto:admissions@dreamssingapore.org.sg)[Application Form](https://dreamssingapore.org.sg/s/DREAMS-Application-Form_edited-Nov-2023.pdf)",,#NAME?,"<p>A first-of-its-kind secular, co-ed weekday residential model that provides after-school academic and holistic support, =DREAMS aspires to create a child-centric system of care that empowers children from low-income households to aspire towards their dreams and break out of poverty, allowing them to access and dream of a future where they are not limited by family circumstances. </p><p>The mission of =DREAMS is: Empowering our youth to attain social mobility through holistic developmental support.</p>",Children and Youth > Others (Children and Youth),"welfare home, youth","<p>Interested parents/guardians and children are invited to visit our Campus to find out more. For enquiries related to admissions, please contact us at:&nbsp;<a href=""mailto:admissions@dreamssingapore.org.sg"" rel=""noopener noreferrer nofollow""><strong>admissions@dreamssingapore.org.sg</strong></a></p><p><a href=""https://dreamssingapore.org.sg/s/DREAMS-Application-Form_edited-Nov-2023.pdf"" class=""sqs-block-button-element--medium sqs-button-element--primary sqs-block-button-element"" rel=""noopener noreferrer nofollow"">Application Form</a></p>",No,No,2024-03-28T00:37:24.000Z,"[{'name': '=DREAMS (Singapore) Limited', 'phone': '6992 2838', 'email': 'admissions@dreamssingapore.org.sg', 'address': '99 Haig Road', 'website': 'https://dreamssingapore.org.sg/admission'}]",=DREAMS (Singapore) Limited
Appropriate Adult Scheme for Young Suspects,Children's Society,"The Appropriate Adult Scheme for Young Suspects (AAYS) trains staff members and volunteers, and matches them to support young suspects who need to attend law enforcement interviews. These young suspects are under the age of 18 years old. These trained volunteers are referred to as Appropriate Adults (AAs).The AAs are trained to:(i)&nbsp;look out for signs of distress in the young suspect,(ii) aid communication between the young suspect and the investigation officer,(iii) provide emotional support when necessary.Click&nbsp;[here](https://www.childrensociety.org.sg/wp-content/uploads/2023/11/AAYS-volunteer-recruitment-info_Nov2023.pdf)&nbsp;to find out more about the roles of an AA, and the volunteering criteria and commitment required.",,https://www.childrensociety.org.sg/services/children-and-youth-services,,,"Children and Youth , Others (Children and Youth)",,6273 2010,,,
Arc Children's Centre,Arc Children's Centre,"Arc aims to provide a sanctuary for the continuing education, safety and bonding of children with cancer or other life-threatening illnesses. Our care also extends to the siblings and family, creating a haven of respite and comfort",,https://www.arcchildren.org/,,,"Children and Youth , Others (Children and Youth) | Health and Medical , Support for Health Conditions",,6252 4898,enquiry@arcchildren.org,,
ASEAN Youth Fellowship,Singapore International Foundation and National Youth Council,"The ASEAN Youth Fellowship (AYF) is a leadership development programme that aims to grow and connect emerging young leaders with a focus on public, private, people sector collaboration.",,https://www.sif.org.sg/Our-Work/Cultural-Exchange/ASEAN-Youth-Fellowship,,,"Children and Youth , Others (Children and Youth)",,,ayf@nyc.sg,The Atrium@Orchard\n International Involvement Hub\n 60A Orchard Road\n 04-01 Tower 1,"Register your interest via the webiste ([https://www.sif.org.sg/Our-Work/Cultural-Exchange/ASEAN-Youth-Fellowship](https://www.sif.org.sg/Our-Work/Cultural-Exchange/ASEAN-Youth-Fellowship)). For enquiries, please contact at [ayf@nyc.sg](mailto:ayf@nyc.sg)."
Canine Programme,EQUAL,"The Canine Programme is aimed at developing social-emotional skills in our beneficiaries, through experiential learning during our multi-session programme with our canine partners.",,https://www.equal.org.sg/our-programmes/canine-programme/,,,"Seniors , Others (Seniors) | Children and Youth , Others (Children and Youth) | Health and Medical , Persons with Disabilities , Physical Disabilities",,,canineprogramme@equal.org.sg,"Enabling Village, 20 Lengkok Bahru, #01-19C",
Canossian EIPIC,Early Intervention Programme for Infants and Children,"Canossian EIPIC (Early Intervention Programme for Infants and Children) is a one-stop support for children with hearing loss. The programme is supported by a multidisciplinary team made up of professionals such as early interventionists, audiologists, speech and language, educational, and occupational therapists, psychologists, and social workers. It is offered either as part of the Canossaville Preschool curriculum or as a standalone programme.Canossian EIPIC is the only early intervention programme that specialises in supporting children to reach their full potential through Formation of the Heart, where the focus is placed on character education. The programme is built around family centred practices such as regular parent training workshops, yearly home visits, and family interventions by the psycho-social team.",,https://canossaville.org.sg/canossian-eipic/,,,"Health and Medical , Persons with Disabilities , Hearing or Vision Impaired | Children and Youth , Others (Children and Youth)",,6812 8555,eipic@canossaville.org.sg,Canossaville Children and Community Services\n1 Sallim Road (Gate 3),
Care Corner Circle of Care Consultancy Services,Care Corner Circle of Care Consultancy Services,"As a pioneer in early childhood preventive and developmental practice, **Care Corner** **Circle of Care Consultancy Services (CoCCS)** offers consultancy &amp; training, innovative solutioning, and tech-enabled service delivery for the social work and early childhood care and education (ECCE) sectors.Our journey began when** Circle of Care (CoC)** was convened by Care Corner Singapore in 2013, with support from Lien Foundation and Quantedge Foundation. CoC has since had the privilege to work with different partners and families towards a common vision of developing a strong ecosystem of care to provide holistic support to children from low-income families.The CoC programme had positively impacted over 700 low-income families, demonstrating a potential return on investment of up to 7 times in terms of increased lifelong family income relative to the initial investment.CoC was also appointed as the official consultant to support KidSTART Singapore’s national scale-up via appointed KidSTART agencies across the island from 2021 to 2023.",,https://www.carecorner.org.sg/services/consultancy-professional-development/,,,"Children and Youth , Others (Children and Youth)",,6835 0921,coc.consultancy@carecorner.org.sg,Blk 346 Ang Mo Kio Ave 3 #01-2280,
CareNights@Morning Star®,Morning Star Community Services,"CareNights@Morning Star® is an evening support programme for children aged **6 to 14 years** from **6 pm to 10 pm on weekdays**. The programme journeys with children to enhance their social and psychological development. With daily interactions, we have seen significant improvements in the children’s behaviours. Dinner is provided to ensure that children understand the importance of nutrition.Through this programme, we hope to break the [Adverse Childhood Experiences (ACEs)](https://www.sciencedirect.com/science/article/pii/S0145213420301022) pattern that parents and caregivers may have been exposed to and be the first line of intervention for children experiencing any form of challenges that require professional assistance.n## Our Approach\nCareNights started in 2016 to support families with children who are not adequately supported at home through upstream, preventive and early intervention.With the guidance of our facilitators and volunteers, children journey through a **values and skills based curriculum** to enhance their **social and emotional development**. Through **Structure, Support and Social Interaction (3Ss)** in a **safe space**, children are better able to regulate their emotions, discover their strengths and build healthy life-skills to strengthen their personal growth and make meaningful contributions to society.CareNights also works closely with parents to understand their challenges and provide support. Besides our monthly parent-child bonding sessions, we enhance their parenting skills through training workshops and counselling.",,https://www.morningstar.org.sg/carenights/,,,"Children and Youth , Others (Children and Youth)",,,carenights@morningstar.org.sg,7A Lor 8 Toa Payoh #03-06,
Children and Youth Drop-in Services,Children's Society,"Children’s Society promotes positive development in children and youth, and reduce and prevent our youth from engaging in risky behaviours at our four youth drop-in centres namely JYC @ Children’s Society, RoundBox @ Children’s Society, The Fort @ Children’s Society and VOX @ Children’s Society.&nbsp;&nbsp;",,https://www.childrensociety.org.sg/services/children-and-youth-services,,,"Children and Youth , Others (Children and Youth)",,6273 2010,,,
Children and Youth programme,EQUAL,"This programme develops socio-emotional skills in youth and those with special needs, through experiential learning with our equine partners",,https://www.equal.org.sg/our-programmes/children-youth-programme/,,,"Children and Youth , Others (Children and Youth)",,6904 0422,info@equal.org.sg,100 Jalan Mashhor,"Programme Structure
10 to 18 weekly sessions
Each session is 2.5 hours long
Weekdays or weekends"
Circle Champions,Lutheran Community Care Services,"Circle Champions (CC) equips students leaders with the facilitation skills to run circles to build relationships and provide socio emotional support for the school community. The practice of circle time, as part of Restorative Practices provides a safe space for students to open up and receive support. Being a structured process, it also provides student leaders with the formal platform to demonstrate their peer helping skills.\n\nKey highlights of CC include:1. Opportunity for student leaders to run circle time with their schooling communities (class or CCA).2. Facilitators’ feedback and encouragement of students leaders’ competencies in running of circle time.3. Celebration of success for student leaders.n## Programme Design\n**No. of Sessions:** 6**No. of Students:** 30**Session Duration:** 1.5 Hours",,https://lccs.org.sg/special-programmes/,,,"Children and Youth , Others (Children and Youth)",,6441 3906,connect@lccs.org.sg,"3779 Jalan Bukit Merah, #02-01 Bukit Merah Community Hub",
Community Rehabilitation Centre,Youth Guidance Outreach Services,"In May 2020, the Singapore Prison Service (SPS) appointed Youth Guidance Outreach Services as the new Managing Agent of the Community Rehabilitation Centre (CRC).The CRC is a step-down centre from the Drug Rehabilitation Centre, dedicated to helping young male drug offenders. It seeks to provide a structured living environment for the residential youths aged 16 to below 21, helping them kick their addictive habits while carrying on with school or work outside.In the past years, the number of arrested drug abusers below 20 has increased. It is thus an ongoing challenge to keep the youths away from more modern illegal substances and liberal attitudes towards drugs. YGOS foresees a huge but rewarding task ahead to journey along and provide restorative care and support for the youths.&nbsp;n## Restorative care &amp; support for all\nOur approach and philosophy for rehabilitation work at CRC comprises of the following approaches: ​**Holistic Approach**Individual, Family, Culture, Community**Throughcare Approach**In-Care, Post-Care and Beyond**Mentoring Approach**Passing on experiences and knowledge to achieve pro-social, positive outcomes",,https://www.ygos.sg/community-rehabilitation-centre,,,"Children and Youth , Others (Children and Youth)",,6368 8392,admin@ygos.org.sg,804 Woodlands St 81 #01-37,
Community Social Work,SHINE Children & Youth Services,"Community Social Work strives towards&nbsp;engaging, developing and mobilising Children, Youth and Communities, with the purpose of maximising Children and Youth potential.\nWe believe in building assets and capabilities of our Children and Youth, forming collaborative relationships with Community partners, who hold the same belief and ideology of our workn## **OUR Programmes**\nCollective Impact @ SpoonerCollective Impact @Bt MerahFamily Coach Programme",,https://www.shine.org.sg/community-social-work,,,"Children and Youth , Others (Children and Youth)",,8788 3092,nur_fadhli@shine.org.sg,,
Core Services,Club Rainbow,"n## Services\nAdopting a holistic approach based on five core pillars of support, Club Rainbow partners with our children and their families in their journey to achieve important milestones at different stages of their lives.<h3></h3><h3>Social Work Intervention</h3>enhances our families’ individual and collective well-being. Every child and family will be assigned to a social worker to work out an individualized, holistic care plan, to meet their needs.<hr><h3>Therapy Intervention</h3>address the diverse developmental needs of our children and play a pivotal role in helping younger children achieve their developmental milestones and independence in their lives.<hr><h3>Education Support</h3>helps our children in achieving their potential and inculcating positive learning values in their academic pursuits, so that they can face adversities better and overcome challenges in the later stages of their lives<hr><h3>Arts Development</h3>seeks to enrich our children and youths’ lives through arts engagement and exposure programmes, providing opportunities for immersive art-making experiences and avenues to develop their interest towards independent living and community inclusivity.<hr><h3>Vocational Development</h3>aims to equip youths aged 13 to 20 with the relevant essential life skills through strength-based and interest-based explorations in order to prepare them for a smooth transition from school to the workplace.",,https://www.clubrainbow.org/core-services,,,"Children and Youth , Others (Children and Youth)",,6377 1789,contact@clubrainbow.org,Blk 538 Upper Cross Street\n#05-263/269,
