,Scheme,Description,Agency,Image,Link,Who It's For,What It Gives,Scheme Type
2490,Anglican Family Centre (AFC),"Serves women and children who are victims of domestic violence, regardless of race, culture or religion, by providing confidential, safe and temporary accommodation for up to 100 women and their children. Also conducts casework, counselling and programmes to empower families and enhance their independence and resilience for integration into the community",Singapore Anglican Community Services (SACS),https://chidnast.sirv.com/SchemesSG/sacs.jpg,https://sacs.org.sg/family-children-services/temporary-refuge-for-women-and-their-children.html,Women,Educational programmes,Women
2491,Anglican Family Centre (AFC),"Serves women and children who are victims of domestic violence, regardless of race, culture or religion, by providing confidential, safe and temporary accommodation for up to 100 women and their children. Also conducts casework, counselling and programmes to empower families and enhance their independence and resilience for integration into the community",Singapore Anglican Community Services (SACS),https://chidnast.sirv.com/SchemesSG/sacs.jpg,https://sacs.org.sg/family-children-services/temporary-refuge-for-women-and-their-children.html,Women,Educational programmes,Children
2492,Anglican Family Centre (AFC),"Serves women and children who are victims of domestic violence, regardless of race, culture or religion, by providing confidential, safe and temporary accommodation for up to 100 women and their children. Also conducts casework, counselling and programmes to empower families and enhance their independence and resilience for integration into the community",Singapore Anglican Community Services (SACS),https://chidnast.sirv.com/SchemesSG/sacs.jpg,https://sacs.org.sg/family-children-services/temporary-refuge-for-women-and-their-children.html,Women,Educational programmes,Housing
2493,Anglican Family Centre (AFC),"Serves women and children who are victims of domestic violence, regardless of race, culture or religion, by providing confidential, safe and temporary accommodation for up to 100 women and their children. Also conducts casework, counselling and programmes to empower families and enhance their independence and resilience for integration into the community",Singapore Anglican Community Services (SACS),https://chidnast.sirv.com/SchemesSG/sacs.jpg,https://sacs.org.sg/family-children-services/temporary-refuge-for-women-and-their-children.html,Women,Emotional care,Women
2494,Anglican Family Centre (AFC),"Serves women and children who are victims of domestic violence, regardless of race, culture or religion, by providing confidential, safe and temporary accommodation for up to 100 women and their children. Also conducts casework, counselling and programmes to empower families and enhance their independence and resilience for integration into the community",Singapore Anglican Community Services (SACS),https://chidnast.sirv.com/SchemesSG/sacs.jpg,https://sacs.org.sg/family-children-services/temporary-refuge-for-women-and-their-children.html,Women,Emotional care,Children
2495,Anglican Family Centre (AFC),"Serves women and children who are victims of domestic violence, regardless of race, culture or religion, by providing confidential, safe and temporary accommodation for up to 100 women and their children. Also conducts casework, counselling and programmes to empower families and enhance their independence and resilience for integration into the community",Singapore Anglican Community Services (SACS),https://chidnast.sirv.com/SchemesSG/sacs.jpg,https://sacs.org.sg/family-children-services/temporary-refuge-for-women-and-their-children.html,Women,Emotional care,Housing
2496,Anglican Family Centre (AFC),"Serves women and children who are victims of domestic violence, regardless of race, culture or religion, by providing confidential, safe and temporary accommodation for up to 100 women and their children. Also conducts casework, counselling and programmes to empower families and enhance their independence and resilience for integration into the community",Singapore Anglican Community Services (SACS),https://chidnast.sirv.com/SchemesSG/sacs.jpg,https://sacs.org.sg/family-children-services/temporary-refuge-for-women-and-their-children.html,Children,Housing,Women
2497,Anglican Family Centre (AFC),"Serves women and children who are victims of domestic violence, regardless of race, culture or religion, by providing confidential, safe and temporary accommodation for up to 100 women and their children. Also conducts casework, counselling and programmes to empower families and enhance their independence and resilience for integration into the community",Singapore Anglican Community Services (SACS),https://chidnast.sirv.com/SchemesSG/sacs.jpg,https://sacs.org.sg/family-children-services/temporary-refuge-for-women-and-their-children.html,Children,Housing,Children
2498,Anglican Family Centre (AFC),"Serves women and children who are victims of domestic violence, regardless of race, culture or religion, by providing confidential, safe and temporary accommodation for up to 100 women and their children. Also conducts casework, counselling and programmes to empower families and enhance their independence and resilience for integration into the community",Singapore Anglican Community Services (SACS),https://chidnast.sirv.com/SchemesSG/sacs.jpg,https://sacs.org.sg/family-children-services/temporary-refuge-for-women-and-their-children.html,Children,Housing,Housing
2499,Anglican Family Centre (AFC),"Serves women and children who are victims of domestic violence, regardless of race, culture or religion, by providing confidential, safe and temporary accommodation for up to 100 women and their children. Also conducts casework, counselling and programmes to empower families and enhance their independence and resilience for integration into the community",Singapore Anglican Community Services (SACS),https://chidnast.sirv.com/SchemesSG/sacs.jpg,https://sacs.org.sg/family-children-services/temporary-refuge-for-women-and-their-children.html,Children,Casework,Women
2500,Anglican Family Centre (AFC),"Serves women and children who are victims of domestic violence, regardless of race, culture or religion, by providing confidential, safe and temporary accommodation for up to 100 women and their children. Also conducts casework, counselling and programmes to empower families and enhance their independence and resilience for integration into the community",Singapore Anglican Community Services (SACS),https://chidnast.sirv.com/SchemesSG/sacs.jpg,https://sacs.org.sg/family-children-services/temporary-refuge-for-women-and-their-children.html,Children,Casework,Children
2501,Anglican Family Centre (AFC),"Serves women and children who are victims of domestic violence, regardless of race, culture or religion, by providing confidential, safe and temporary accommodation for up to 100 women and their children. Also conducts casework, counselling and programmes to empower families and enhance their independence and resilience for integration into the community",Singapore Anglican Community Services (SACS),https://chidnast.sirv.com/SchemesSG/sacs.jpg,https://sacs.org.sg/family-children-services/temporary-refuge-for-women-and-their-children.html,Children,Casework,Housing
2502,Anglican Family Centre (AFC),"Serves women and children who are victims of domestic violence, regardless of race, culture or religion, by providing confidential, safe and temporary accommodation for up to 100 women and their children. Also conducts casework, counselling and programmes to empower families and enhance their independence and resilience for integration into the community",Singapore Anglican Community Services (SACS),https://chidnast.sirv.com/SchemesSG/sacs.jpg,https://sacs.org.sg/family-children-services/temporary-refuge-for-women-and-their-children.html,Children,Counselling,Women
2503,Anglican Family Centre (AFC),"Serves women and children who are victims of domestic violence, regardless of race, culture or religion, by providing confidential, safe and temporary accommodation for up to 100 women and their children. Also conducts casework, counselling and programmes to empower families and enhance their independence and resilience for integration into the community",Singapore Anglican Community Services (SACS),https://chidnast.sirv.com/SchemesSG/sacs.jpg,https://sacs.org.sg/family-children-services/temporary-refuge-for-women-and-their-children.html,Children,Counselling,Children
2504,Anglican Family Centre (AFC),"Serves women and children who are victims of domestic violence, regardless of race, culture or religion, by providing confidential, safe and temporary accommodation for up to 100 women and their children. Also conducts casework, counselling and programmes to empower families and enhance their independence and resilience for integration into the community",Singapore Anglican Community Services (SACS),https://chidnast.sirv.com/SchemesSG/sacs.jpg,https://sacs.org.sg/family-children-services/temporary-refuge-for-women-and-their-children.html,Children,Counselling,Housing
2505,Anglican Family Centre (AFC),"Serves women and children who are victims of domestic violence, regardless of race, culture or religion, by providing confidential, safe and temporary accommodation for up to 100 women and their children. Also conducts casework, counselling and programmes to empower families and enhance their independence and resilience for integration into the community",Singapore Anglican Community Services (SACS),https://chidnast.sirv.com/SchemesSG/sacs.jpg,https://sacs.org.sg/family-children-services/temporary-refuge-for-women-and-their-children.html,Children,Educational programmes,Women
2506,Anglican Family Centre (AFC),"Serves women and children who are victims of domestic violence, regardless of race, culture or religion, by providing confidential, safe and temporary accommodation for up to 100 women and their children. Also conducts casework, counselling and programmes to empower families and enhance their independence and resilience for integration into the community",Singapore Anglican Community Services (SACS),https://chidnast.sirv.com/SchemesSG/sacs.jpg,https://sacs.org.sg/family-children-services/temporary-refuge-for-women-and-their-children.html,Children,Educational programmes,Children
2507,Anglican Family Centre (AFC),"Serves women and children who are victims of domestic violence, regardless of race, culture or religion, by providing confidential, safe and temporary accommodation for up to 100 women and their children. Also conducts casework, counselling and programmes to empower families and enhance their independence and resilience for integration into the community",Singapore Anglican Community Services (SACS),https://chidnast.sirv.com/SchemesSG/sacs.jpg,https://sacs.org.sg/family-children-services/temporary-refuge-for-women-and-their-children.html,Children,Educational programmes,Housing
2508,Anglican Family Centre (AFC),"Serves women and children who are victims of domestic violence, regardless of race, culture or religion, by providing confidential, safe and temporary accommodation for up to 100 women and their children. Also conducts casework, counselling and programmes to empower families and enhance their independence and resilience for integration into the community",Singapore Anglican Community Services (SACS),https://chidnast.sirv.com/SchemesSG/sacs.jpg,https://sacs.org.sg/family-children-services/temporary-refuge-for-women-and-their-children.html,Children,Emotional care,Women
2509,Anglican Family Centre (AFC),"Serves women and children who are victims of domestic violence, regardless of race, culture or religion, by providing confidential, safe and temporary accommodation for up to 100 women and their children. Also conducts casework, counselling and programmes to empower families and enhance their independence and resilience for integration into the community",Singapore Anglican Community Services (SACS),https://chidnast.sirv.com/SchemesSG/sacs.jpg,https://sacs.org.sg/family-children-services/temporary-refuge-for-women-and-their-children.html,Children,Emotional care,Children
2510,Anglican Family Centre (AFC),"Serves women and children who are victims of domestic violence, regardless of race, culture or religion, by providing confidential, safe and temporary accommodation for up to 100 women and their children. Also conducts casework, counselling and programmes to empower families and enhance their independence and resilience for integration into the community",Singapore Anglican Community Services (SACS),https://chidnast.sirv.com/SchemesSG/sacs.jpg,https://sacs.org.sg/family-children-services/temporary-refuge-for-women-and-their-children.html,Children,Emotional care,Housing
2511,Integrated Employment Services,"Work skills training, employment support, job matching and casework/counselling for young to middle-aged clients with mental health issues. Singapore Anglican Community Services provides a wide range of employment services to develop clientsí potential and help them gain and sustain employment in the competitive job market.",Singapore Anglican Community Services (SACS),https://chidnast.sirv.com/SchemesSG/sacs.jpg,https://sacs.org.sg/psychiatric-services/integrated-employment-services.html,Mental health needs,Employment assistance,Mental Health
2512,Integrated Employment Services,"Work skills training, employment support, job matching and casework/counselling for young to middle-aged clients with mental health issues. Singapore Anglican Community Services provides a wide range of employment services to develop clientsí potential and help them gain and sustain employment in the competitive job market.",Singapore Anglican Community Services (SACS),https://chidnast.sirv.com/SchemesSG/sacs.jpg,https://sacs.org.sg/psychiatric-services/integrated-employment-services.html,Mental health needs,Employment assistance,Work
2513,Integrated Employment Services,"Work skills training, employment support, job matching and casework/counselling for young to middle-aged clients with mental health issues. Singapore Anglican Community Services provides a wide range of employment services to develop clientsí potential and help them gain and sustain employment in the competitive job market.",Singapore Anglican Community Services (SACS),https://chidnast.sirv.com/SchemesSG/sacs.jpg,https://sacs.org.sg/psychiatric-services/integrated-employment-services.html,Mental health needs,Vocational training,Mental Health
2514,Integrated Employment Services,"Work skills training, employment support, job matching and casework/counselling for young to middle-aged clients with mental health issues. Singapore Anglican Community Services provides a wide range of employment services to develop clientsí potential and help them gain and sustain employment in the competitive job market.",Singapore Anglican Community Services (SACS),https://chidnast.sirv.com/SchemesSG/sacs.jpg,https://sacs.org.sg/psychiatric-services/integrated-employment-services.html,Mental health needs,Vocational training,Work
2515,Integrated Employment Services,"Work skills training, employment support, job matching and casework/counselling for young to middle-aged clients with mental health issues. Singapore Anglican Community Services provides a wide range of employment services to develop clientsí potential and help them gain and sustain employment in the competitive job market.",Singapore Anglican Community Services (SACS),https://chidnast.sirv.com/SchemesSG/sacs.jpg,https://sacs.org.sg/psychiatric-services/integrated-employment-services.html,Mental health needs,Job matching,Mental Health
2516,Integrated Employment Services,"Work skills training, employment support, job matching and casework/counselling for young to middle-aged clients with mental health issues. Singapore Anglican Community Services provides a wide range of employment services to develop clientsí potential and help them gain and sustain employment in the competitive job market.",Singapore Anglican Community Services (SACS),https://chidnast.sirv.com/SchemesSG/sacs.jpg,https://sacs.org.sg/psychiatric-services/integrated-employment-services.html,Mental health needs,Job matching,Work
2517,Integrated Employment Services,"Work skills training, employment support, job matching and casework/counselling for young to middle-aged clients with mental health issues. Singapore Anglican Community Services provides a wide range of employment services to develop clientsí potential and help them gain and sustain employment in the competitive job market.",Singapore Anglican Community Services (SACS),https://chidnast.sirv.com/SchemesSG/sacs.jpg,https://sacs.org.sg/psychiatric-services/integrated-employment-services.html,Unemployed or need employment or job assistance,Employment assistance,Mental Health
2518,Integrated Employment Services,"Work skills training, employment support, job matching and casework/counselling for young to middle-aged clients with mental health issues. Singapore Anglican Community Services provides a wide range of employment services to develop clientsí potential and help them gain and sustain employment in the competitive job market.",Singapore Anglican Community Services (SACS),https://chidnast.sirv.com/SchemesSG/sacs.jpg,https://sacs.org.sg/psychiatric-services/integrated-employment-services.html,Unemployed or need employment or job assistance,Employment assistance,Work
2519,Integrated Employment Services,"Work skills training, employment support, job matching and casework/counselling for young to middle-aged clients with mental health issues. Singapore Anglican Community Services provides a wide range of employment services to develop clientsí potential and help them gain and sustain employment in the competitive job market.",Singapore Anglican Community Services (SACS),https://chidnast.sirv.com/SchemesSG/sacs.jpg,https://sacs.org.sg/psychiatric-services/integrated-employment-services.html,Unemployed or need employment or job assistance,Vocational training,Mental Health
2520,Integrated Employment Services,"Work skills training, employment support, job matching and casework/counselling for young to middle-aged clients with mental health issues. Singapore Anglican Community Services provides a wide range of employment services to develop clientsí potential and help them gain and sustain employment in the competitive job market.",Singapore Anglican Community Services (SACS),https://chidnast.sirv.com/SchemesSG/sacs.jpg,https://sacs.org.sg/psychiatric-services/integrated-employment-services.html,Unemployed or need employment or job assistance,Vocational training,Work
2521,Integrated Employment Services,"Work skills training, employment support, job matching and casework/counselling for young to middle-aged clients with mental health issues. Singapore Anglican Community Services provides a wide range of employment services to develop clientsí potential and help them gain and sustain employment in the competitive job market.",Singapore Anglican Community Services (SACS),https://chidnast.sirv.com/SchemesSG/sacs.jpg,https://sacs.org.sg/psychiatric-services/integrated-employment-services.html,Unemployed or need employment or job assistance,Job matching,Mental Health
2522,Integrated Employment Services,"Work skills training, employment support, job matching and casework/counselling for young to middle-aged clients with mental health issues. Singapore Anglican Community Services provides a wide range of employment services to develop clientsí potential and help them gain and sustain employment in the competitive job market.",Singapore Anglican Community Services (SACS),https://chidnast.sirv.com/SchemesSG/sacs.jpg,https://sacs.org.sg/psychiatric-services/integrated-employment-services.html,Unemployed or need employment or job assistance,Job matching,Work
2523,Singapore Anglican Community Services (SACS) Residential Rehabilitation Services,Singapore Anglican Community Services provides short and medium term residential care for persons with mental health issues (PMHI) in a therapeutic environment to support their recovery process. Personalised rehabilitation programmes are designed to help them develop independent living skills. They are encouraged to practise self-care by maintaining personal hygiene and doing their own chores. Shared amenities and communal spaces are also in place for clients to allow for social engagement and build their confidence for reintegration into the community.,Singapore Anglican Community Services (SACS),https://chidnast.sirv.com/SchemesSG/sacs.jpg,https://sacs.org.sg/psychiatric-services/residential-rehabilitation-services.html,Mental health needs,Residential rehabilitation programme,Mental Health
2524,Medical Service,Singapore Buddhist Free Clinic provides the general public with outpatient consultation in Traditional Chinese medicine (TCM) including acupuncture.,Singapore Buddhist Free Clinic,https://chidnast.sirv.com/SchemesSG/sg-buddhist-free-clinic.jpg,https://www.sbfc.org.sg/medical-service,General public,Free TCM,Healthcare
2525,"Cancer Care Fund, Welfare Aid Fund, Cancer Treatment Fund","The Cancer Care Fund is a one-time financial assistance scheme to alleviate the financial burden of newly-diagnosed cancer patients from low or middle income families within the first 6 months of diagnosis.The Welfare Aid fund provides temporary financial assistance and/or medical supplies to enhance the well-being of needy cancer patients. Medical supplies include the supply of milk, diapers, medical dressings, stoma bags and other medical equipment. The Cancer Treatment Fund provides financial assistance to needy cancer patients to subsidise part of their cancer treatment costs.",Singapore Cancer Society,https://chidnast.sirv.com/SchemesSG/scs.jpg,https://www.singaporecancersociety.org.sg/get-help/cancer-patient/financial-assistance-schemes/apply-for-financial-assistance.html,Cancer patients,Financial assistance for cancer patients,Healthcare
2526,"Cancer Care Fund, Welfare Aid Fund, Cancer Treatment Fund","The Cancer Care Fund is a one-time financial assistance scheme to alleviate the financial burden of newly-diagnosed cancer patients from low or middle income families within the first 6 months of diagnosis.The Welfare Aid fund provides temporary financial assistance and/or medical supplies to enhance the well-being of needy cancer patients. Medical supplies include the supply of milk, diapers, medical dressings, stoma bags and other medical equipment. The Cancer Treatment Fund provides financial assistance to needy cancer patients to subsidise part of their cancer treatment costs.",Singapore Cancer Society,https://chidnast.sirv.com/SchemesSG/scs.jpg,https://www.singaporecancersociety.org.sg/get-help/cancer-patient/financial-assistance-schemes/apply-for-financial-assistance.html,Caregivers,Financial assistance for cancer patients,Healthcare
2527,Star Shelter,"Star Shelter aims to provide a safe temporary refuge for women and their children who are victims of family violence regardless of race, language, creed or religion.",Singapore Council of Women's Organisations,https://chidnast.sirv.com/SchemesSG/scwo.jpg,https://www.scwo.org.sg/what-we-do/services/star-shelter/,Facing abuse,Shelter,Homeless
2528,Star Shelter,"Star Shelter aims to provide a safe temporary refuge for women and their children who are victims of family violence regardless of race, language, creed or religion.",Singapore Council of Women's Organisations,https://chidnast.sirv.com/SchemesSG/scwo.jpg,https://www.scwo.org.sg/what-we-do/services/star-shelter/,Facing abuse,Shelter,Family Violence
2529,Star Shelter,"Star Shelter aims to provide a safe temporary refuge for women and their children who are victims of family violence regardless of race, language, creed or religion.",Singapore Council of Women's Organisations,https://chidnast.sirv.com/SchemesSG/scwo.jpg,https://www.scwo.org.sg/what-we-do/services/star-shelter/,Facing abuse,Protection against violence,Homeless
2530,Star Shelter,"Star Shelter aims to provide a safe temporary refuge for women and their children who are victims of family violence regardless of race, language, creed or religion.",Singapore Council of Women's Organisations,https://chidnast.sirv.com/SchemesSG/scwo.jpg,https://www.scwo.org.sg/what-we-do/services/star-shelter/,Facing abuse,Protection against violence,Family Violence
2531,Star Shelter,"Star Shelter aims to provide a safe temporary refuge for women and their children who are victims of family violence regardless of race, language, creed or religion.",Singapore Council of Women's Organisations,https://chidnast.sirv.com/SchemesSG/scwo.jpg,https://www.scwo.org.sg/what-we-do/services/star-shelter/,Need shelter,Shelter,Homeless
2532,Star Shelter,"Star Shelter aims to provide a safe temporary refuge for women and their children who are victims of family violence regardless of race, language, creed or religion.",Singapore Council of Women's Organisations,https://chidnast.sirv.com/SchemesSG/scwo.jpg,https://www.scwo.org.sg/what-we-do/services/star-shelter/,Need shelter,Shelter,Family Violence
2533,Star Shelter,"Star Shelter aims to provide a safe temporary refuge for women and their children who are victims of family violence regardless of race, language, creed or religion.",Singapore Council of Women's Organisations,https://chidnast.sirv.com/SchemesSG/scwo.jpg,https://www.scwo.org.sg/what-we-do/services/star-shelter/,Need shelter,Protection against violence,Homeless
2534,Star Shelter,"Star Shelter aims to provide a safe temporary refuge for women and their children who are victims of family violence regardless of race, language, creed or religion.",Singapore Council of Women's Organisations,https://chidnast.sirv.com/SchemesSG/scwo.jpg,https://www.scwo.org.sg/what-we-do/services/star-shelter/,Need shelter,Protection against violence,Family Violence
2535,Haw Par Para Sports Bursary,"The Haw Par Para Sports Bursary aims to support deserving Persons with Disabilities (PwD) from disadvantaged backgrounds to shine in sports. An estimate of 20 bursaries would be given out each year, ranging between values of $900 and $1,800, to help cope with sport-related expenses that are not supported or subsidised by other funding channels.",Singapore Disability Sports Council (SDSC),https://chidnast.sirv.com/SchemesSG/sdsc.jpg,https://sdsc.org.sg/financial-support-schemes/#1542269670565-a1db8f48-e52a,Persons with disabilities (PWDs),Financial assistance for education,Disability
2536,Haw Par Para Sports Bursary,"The Haw Par Para Sports Bursary aims to support deserving Persons with Disabilities (PwD) from disadvantaged backgrounds to shine in sports. An estimate of 20 bursaries would be given out each year, ranging between values of $900 and $1,800, to help cope with sport-related expenses that are not supported or subsidised by other funding channels.",Singapore Disability Sports Council (SDSC),https://chidnast.sirv.com/SchemesSG/sdsc.jpg,https://sdsc.org.sg/financial-support-schemes/#1542269670565-a1db8f48-e52a,Persons with disabilities (PWDs),Financial assistance for education,Education
2537,Heart Support Fund,Singapore Heart Foundation provides financial assistance to needy heart patients through the Heart Support Fund.,Singapore Heart Foundation,https://chidnast.sirv.com/SchemesSG/shf.jpg,https://www.myheart.org.sg/programmes/cardiac-rehabilitation-and-heart-wellness/heart-support-fund/,Heart patients,Financial assistance for heart patients,Low Income
2538,Heart Support Fund,Singapore Heart Foundation provides financial assistance to needy heart patients through the Heart Support Fund.,Singapore Heart Foundation,https://chidnast.sirv.com/SchemesSG/shf.jpg,https://www.myheart.org.sg/programmes/cardiac-rehabilitation-and-heart-wellness/heart-support-fund/,Heart patients,Financial assistance for heart patients,Healthcare
2539,Heart Support Fund,Singapore Heart Foundation provides financial assistance to needy heart patients through the Heart Support Fund.,Singapore Heart Foundation,https://chidnast.sirv.com/SchemesSG/shf.jpg,https://www.myheart.org.sg/programmes/cardiac-rehabilitation-and-heart-wellness/heart-support-fund/,Heart patients,Financial assistance for heart patients,Loss of Breadwinner
2540,Singapore Hospice Council,"An umbrella body representing organisations that actively provide hospice and palliative care in Singapore. Website provides information on organisations providing care, as well as for patients and caregivers seeking such care services.",Singapore Hospice Council,https://chidnast.sirv.com/SchemesSG/shc.jpg,https://singaporehospice.org.sg/,Facing end of life,End of life care,Healthcare
2541,Singapore Hospice Council,"An umbrella body representing organisations that actively provide hospice and palliative care in Singapore. Website provides information on organisations providing care, as well as for patients and caregivers seeking such care services.",Singapore Hospice Council,https://chidnast.sirv.com/SchemesSG/shc.jpg,https://singaporehospice.org.sg/,Facing end of life,End of life care,End-of-Life
2542,Singapore Hospice Council,"An umbrella body representing organisations that actively provide hospice and palliative care in Singapore. Website provides information on organisations providing care, as well as for patients and caregivers seeking such care services.",Singapore Hospice Council,https://chidnast.sirv.com/SchemesSG/shc.jpg,https://singaporehospice.org.sg/,Facing end of life,Emotional care,Healthcare
2543,Singapore Hospice Council,"An umbrella body representing organisations that actively provide hospice and palliative care in Singapore. Website provides information on organisations providing care, as well as for patients and caregivers seeking such care services.",Singapore Hospice Council,https://chidnast.sirv.com/SchemesSG/shc.jpg,https://singaporehospice.org.sg/,Facing end of life,Emotional care,End-of-Life
2544,Singapore Hospice Council,"An umbrella body representing organisations that actively provide hospice and palliative care in Singapore. Website provides information on organisations providing care, as well as for patients and caregivers seeking such care services.",Singapore Hospice Council,https://chidnast.sirv.com/SchemesSG/shc.jpg,https://singaporehospice.org.sg/,Elderly,End of life care,Healthcare
2545,Singapore Hospice Council,"An umbrella body representing organisations that actively provide hospice and palliative care in Singapore. Website provides information on organisations providing care, as well as for patients and caregivers seeking such care services.",Singapore Hospice Council,https://chidnast.sirv.com/SchemesSG/shc.jpg,https://singaporehospice.org.sg/,Elderly,End of life care,End-of-Life
2546,Singapore Hospice Council,"An umbrella body representing organisations that actively provide hospice and palliative care in Singapore. Website provides information on organisations providing care, as well as for patients and caregivers seeking such care services.",Singapore Hospice Council,https://chidnast.sirv.com/SchemesSG/shc.jpg,https://singaporehospice.org.sg/,Elderly,Emotional care,Healthcare
2547,Singapore Hospice Council,"An umbrella body representing organisations that actively provide hospice and palliative care in Singapore. Website provides information on organisations providing care, as well as for patients and caregivers seeking such care services.",Singapore Hospice Council,https://chidnast.sirv.com/SchemesSG/shc.jpg,https://singaporehospice.org.sg/,Elderly,Emotional care,End-of-Life
2548,Singapore Hospice Council,"An umbrella body representing organisations that actively provide hospice and palliative care in Singapore. Website provides information on organisations providing care, as well as for patients and caregivers seeking such care services.",Singapore Hospice Council,https://chidnast.sirv.com/SchemesSG/shc.jpg,https://singaporehospice.org.sg/,Caregivers,End of life care,Healthcare
2549,Singapore Hospice Council,"An umbrella body representing organisations that actively provide hospice and palliative care in Singapore. Website provides information on organisations providing care, as well as for patients and caregivers seeking such care services.",Singapore Hospice Council,https://chidnast.sirv.com/SchemesSG/shc.jpg,https://singaporehospice.org.sg/,Caregivers,End of life care,End-of-Life
2550,Singapore Hospice Council,"An umbrella body representing organisations that actively provide hospice and palliative care in Singapore. Website provides information on organisations providing care, as well as for patients and caregivers seeking such care services.",Singapore Hospice Council,https://chidnast.sirv.com/SchemesSG/shc.jpg,https://singaporehospice.org.sg/,Caregivers,Emotional care,Healthcare
2551,Singapore Hospice Council,"An umbrella body representing organisations that actively provide hospice and palliative care in Singapore. Website provides information on organisations providing care, as well as for patients and caregivers seeking such care services.",Singapore Hospice Council,https://chidnast.sirv.com/SchemesSG/shc.jpg,https://singaporehospice.org.sg/,Caregivers,Emotional care,End-of-Life
2552,Before and After School Care Subsidy,The Before and After School Care Subsidy (BASC) is available to low-income families with children aged 7 ñ 14 enrolled in non-profit BASC centres. It augments the subsidies provided by Ministry of Social and Family Development (MSF) and Student Care Centres.,Singapore Indian Development Association (SINDA),https://chidnast.sirv.com/SchemesSG/sinda.jpg,https://www.sinda.org.sg/financial_assistance/basc/,Indian community,Educational programmes,Low Income
2553,Before and After School Care Subsidy,The Before and After School Care Subsidy (BASC) is available to low-income families with children aged 7 ñ 14 enrolled in non-profit BASC centres. It augments the subsidies provided by Ministry of Social and Family Development (MSF) and Student Care Centres.,Singapore Indian Development Association (SINDA),https://chidnast.sirv.com/SchemesSG/sinda.jpg,https://www.sinda.org.sg/financial_assistance/basc/,Children from low income families,Educational programmes,Low Income
2554,Before and After School Care Subsidy,The Before and After School Care Subsidy (BASC) is available to low-income families with children aged 7 ñ 14 enrolled in non-profit BASC centres. It augments the subsidies provided by Ministry of Social and Family Development (MSF) and Student Care Centres.,Singapore Indian Development Association (SINDA),https://chidnast.sirv.com/SchemesSG/sinda.jpg,https://www.sinda.org.sg/financial_assistance/basc/,Low income families,Educational programmes,Low Income
2555,Legal Clinic,"The legal clinic offers free legal services to Indian families in need. Lawyers from accredited law firms offer their services on a pro-bono basis, and will explain to clients the relevant legal procedures, legal terms and inform them of the estimated costs they may incur and support systems that they can tap on.",Singapore Indian Development Association (SINDA),https://chidnast.sirv.com/SchemesSG/sinda.jpg,https://www.sinda.org.sg/financial_assistance/legal-clinic/,Need legal aid,Legal services,Low Income
2556,SINDA Job Care Scheme,"SINDAís Job Care Scheme (SINDA JCS) is to assist Indian residents in performing jobs matching, career search and job applications.",Singapore Indian Development Association (SINDA),https://chidnast.sirv.com/SchemesSG/sinda.jpg,https://www.sinda.org.sg/financial_assistance/sinda-jcs/,Indian community,Employment assistance,Low Income
2557,SINDA Job Care Scheme,"SINDAís Job Care Scheme (SINDA JCS) is to assist Indian residents in performing jobs matching, career search and job applications.",Singapore Indian Development Association (SINDA),https://chidnast.sirv.com/SchemesSG/sinda.jpg,https://www.sinda.org.sg/financial_assistance/sinda-jcs/,Indian community,Employment assistance,Work
2558,SINDA Job Care Scheme,"SINDAís Job Care Scheme (SINDA JCS) is to assist Indian residents in performing jobs matching, career search and job applications.",Singapore Indian Development Association (SINDA),https://chidnast.sirv.com/SchemesSG/sinda.jpg,https://www.sinda.org.sg/financial_assistance/sinda-jcs/,Retrenched,Employment assistance,Low Income
2559,SINDA Job Care Scheme,"SINDAís Job Care Scheme (SINDA JCS) is to assist Indian residents in performing jobs matching, career search and job applications.",Singapore Indian Development Association (SINDA),https://chidnast.sirv.com/SchemesSG/sinda.jpg,https://www.sinda.org.sg/financial_assistance/sinda-jcs/,Retrenched,Employment assistance,Work
2560,SINDA Job Care Scheme,"SINDAís Job Care Scheme (SINDA JCS) is to assist Indian residents in performing jobs matching, career search and job applications.",Singapore Indian Development Association (SINDA),https://chidnast.sirv.com/SchemesSG/sinda.jpg,https://www.sinda.org.sg/financial_assistance/sinda-jcs/,Unemployed or need employment or job assistance,Employment assistance,Low Income
2561,SINDA Job Care Scheme,"SINDAís Job Care Scheme (SINDA JCS) is to assist Indian residents in performing jobs matching, career search and job applications.",Singapore Indian Development Association (SINDA),https://chidnast.sirv.com/SchemesSG/sinda.jpg,https://www.sinda.org.sg/financial_assistance/sinda-jcs/,Unemployed or need employment or job assistance,Employment assistance,Work
2562,Pre-School Bursary,SINDAís pre-school bursary helps Indian children from low-income families with costs relating to pre-school education. Children must be aged seven years old and below and must already be receiving additional subsidy from Early Childhood Development Agency (ECDA) before applying for the Bursary. This Bursary is especially helpful to parents who are keen to enroll their children in an ECDA-Registered Childcare Centre.,Singapore Indian Development Association (SINDA),https://chidnast.sirv.com/SchemesSG/sinda.jpg,https://www.sinda.org.sg/financial_assistance/pre-school-bursary/,Indian community,Financial assistance,Education
