Scheme,Description,Agency,Image,Link,Who's it for,What it gives,Scheme Type,search_booster(WL)
Children Services,"We care for children in the community, especially those from disadvantaged families. We guide their social and emotional development by providing these programmes: Student Care, The GRIT Project (Children and Youth Centre) and Reading Intervention Services.",Lakeside Family Services,https://chidnast.sirv.com/SchemesSG/lakeside.jpg,https://lakeside.org.sg/our-services/children-services/,"Youth-at-risk,Children,Low Income","Educational Programmes,Counselling,Befriending,Childcare,Student Care,Education","Education,Low Income,Children,Youth-at-risk","learning help, dyslexic, school support, free tuition, early intervention children learning, academic support, improve english, exam help, after-school care, nobody to watch over kids, holiday enrichment class"
Legal Aid,Legal advice; legal assistance to draft a Will or Deed of Separation; legal representation in court proceedings,Legal Aid Bureau,https://chidnast.sirv.com/SchemesSG/minlaw.jpg,https://lab.mlaw.gov.sg/legal-services/how-do-i-apply-for-legal-aid/,In need of legal aid,Legal services,Legal Aid,"legal aid, need help with law, family law, settle issues, litigation, need lawyer to help with estate planning inheritance legacy, employment mediation, tenancy disputes, monetary claims, motor and industrial accident claims"
LBKM Bursaries,Various education bursaries for primary to post-graduate degree study,Lembaga Biasiswa Kenangan Maulud (LBKM),https://chidnast.sirv.com/SchemesSG/lbkm.jpg,http://lbkm.org.sg/bursary-scholarship/lbkm-bursaries/,"Students,Malay Muslim community",Financial assistance for education,Education,"Bursary, scholarship, madrasah"
Meal & Transport Scheme,The Meal and Transport Scheme supports the children in their needs while reaching out to families who have fallen through the cracks and fail to receive MOE MOE Financial Assistance Scheme (FAS). Primary school beneficiaries will receive $40 or $60 a month and secondary school beneficiaries receive $80 or $90 a month via their EZ-Link Card.,Loving Heart Multi-Service Centre (Jurong),https://chidnast.sirv.com/SchemesSG/loving-heart-msc-jurong.jpg,https://www.lovingheartjurong.org.sg/services/meal-transport-scheme/,"Low income,Low income families,students,children,food,transport",Financial assistance,"Low income,Low income families,students,children,food,transport",
Free Tuition Programme,"With the vision of assisting children from less-privileged background to achieve a meaningful level of academic attainment and eventually progress to further education, Loving Heart’s Free Tuition programme has supported numerous students from Primary 1 to Secondary 4.
​
With the shift towards the class-based tuition model in 2024, lessons are delivered by professional tutors, with close support by a group of highly dedicated volunteer study buddies.
The programme currently caters to students across Jurong, Bukit Batok and Yuhua on Fridays (7pm – 8.30pm).

In collaboration with the Social Service Office, we have also expanded our reach to Boon Lay to serve more students under ComLink every Monday (7pm – 8.30pm).",Loving Heart Multi-Service Centre (Jurong),https://chidnast.sirv.com/SchemesSG/loving-heart-msc-jurong.jpg,https://www.lovingheartjurong.org.sg/services/free-tuition-programme/,"Tuition,education,low income,low income students",Financial assistance,"Tuition,education,low income,low income students",
Free Traditional Chinese Medicine (TCM) Clinic,"In partnership with Cheng Hong Welfare Service Society saw the commencement of the Free Traditional Chinese (TCM) Clinic on 4 January 2010. It aims to serve the underprivileged residents in the region with free consultation, acupuncture and medication for all.

The team is led by physicians from Cheng Hong and supported by trained pharmacists. The clinic sees approximately 70 patients each week.

Located at Blk 312 Jurong East Street 32, #01-319, the clinic operates every Monday to Friday from 1pm to 3.30pm. Walk-in registration starts from 12.50pm and ends at 3.00pm.",Loving Heart Multi-Service Centre (Jurong),https://chidnast.sirv.com/SchemesSG/loving-heart-msc-jurong.jpg,https://www.lovingheartjurong.org.sg/services/free-traditional-chinese-medicine-tcm-clinic/,"TCM,healthcare,low income,low income families",Healthcare assistance,"TCM,healthcare,low income,low income families",
"Referral & Food Gift+ Programme
","Our assistance and services are catered to help residents cope with difficult times caused by circumstances, such as sudden unemployment or illness.

Food Gifts are given out to deserving families each month and the need for this assistance has been increasing over the years. Duration of assistance is assessed on a case-by-case basis.",Loving Heart Multi-Service Centre (Jurong),https://chidnast.sirv.com/SchemesSG/loving-heart-msc-jurong.jpg,https://www.lovingheartjurong.org.sg/services/case-management-food-gifts/,"Food,low income,referral",Food support,"Food,low income,referral","Food,low income,referral"
MUIS Monthly Zakat Financial Assistance,"MUIS works in partnership with appointed Social Development (SD) mosques to provide basic services and support programmes meant for the poor and needy (asnaf fakir and miskin). Zakat financial assistance comes in different forms, such as monthly assistance, settlement of debt, emergency assistance, burial expenses, study grants and fidyah food vouchers.",Majlis Ugama Islam Singapura (MUIS),https://chidnast.sirv.com/SchemesSG/muis.jpg,https://www.zakat.sg/zakat-assistance/,"Muslim community,Low income,Low income families","Financial assistance for daily living,Debt settlement services,Emergency assistance,Burial expenses","Low Income,Family","Financial assistance, poor, low income, need money to buy daily needs, food, hungry, Malay Muslim"
MUIS Special Needs Trust Scheme,"Eligible families with PSNs will receive support to set up a trust with SNTC, thus safeguarding the well-being and long term needs of their loved ones when there is no longer a caregiver for them.",Majlis Ugama Islam Singapura (MUIS),https://chidnast.sirv.com/SchemesSG/muis.jpg,https://www.muis.gov.sg/Our-Services/Financial-Schemes/Muis-Special-Needs-Trust-Scheme,"Muslim community,Special needs children,Parents","Support in setting up a trust,Support in legacy planning","Special Needs,Loss of Breadwinner","Special needs, legacy planning, trust fund, caregiving, after she's gone, after he's gone, caregiver passed away, take care of him when no longer around, take care of her when no longer around"
Family and Inmates Throughcare Assistance Haven (FITRAH),"FITRAH aims to provide integrated and holistic support for inmates as well as their families - from in-care to aftercare. The families will be connected to the necessary network of assistance while their spouses who are in prison are duly supported with in-care services. Services offered by FITRAH include befriending, referral for financial assistance, Islamic learning at Mosques and referral to MENDAKI for employment and tuition for their children.",Majlis Ugama Islam Singapura (MUIS),https://chidnast.sirv.com/SchemesSG/muis.jpg,https://www.m3.gov.sg/focus-areas/vulnerable-individuals-and-families/,"Incarcerated,Ex-offenders,Families of ex-offenders","Counselling,Referral,Employment assistance,Financial assistance,Befriending services,Educational programmes","Ex-offender,Work,Employment,Education,Children","halfway house, excon need housing, excon social program, excon need job, excon skills training course, learning programme"
Various services,Information relating to social service and referrals to appropriate services; casework and counselling; therapeutic groupwork,Marine Parade Family Service Centre,https://chidnast.sirv.com/SchemesSG/mpfsc.jpg,https://montfortcare.org.sg/services/families/,Families,"Counselling,Casework","Low Income,Family","casework, counselling, family, individual, social service"
Good Shepherd Centre (GSC),"Good Shepherd Centre (GSC) was set up in 1986 to provide a safe place for women who have been abused or who suffer from seemingly insurmountable difficulties, to work through their trauma and crisis. Some of the women, often with children in tow, are survivors of chronic domestic violence. As far as possible, we accommodate the mothers and their children together in the shelter. Some of the abused spouses are foreigners with little family support and few friends they can turn to.",Marymount Centre,https://chidnast.sirv.com/SchemesSG/marymountcentre.jpg,https://marymountctr.org.sg/html/GSCMore.html,"Women,Children,Homeless","Housing,Employment assistance,Emotional care,Legal aid","Women,Children,Education,Work,Employment,Housing","foreign spouse, foreign wife, illegal immigrant, abuse, need place to stay, overstay visa, expire visa, need job, court case, need lawyer, shelter, human trafficking"
Ahuva Good Shepherd,"Provides the following:

- Children's Home (CH): CH provides a safe and nurturing residential environment for girls, aged 4 to 18, who have experienced challenges in their families, like financial difficulties, family violence, divorce, abuse and parents' incarceration.
- Interim Placement and Assessment Centre (IPAC): IPAC provides a safe place for children, aged 4 to 16, who have experienced some form of abuse, while investigations and assessments take place and long-term care arrangements are made. A typical length of stay is 30 days.
- Small Group Care (SGC): SGC provides a safe place for girls, aged 7 to 12, who have been assessed by the Ministry of Social and Family Development (MSF) to have moderate to high needs due to past abuse. The usual length of stay is up to 18 months.",Marymount Centre,https://chidnast.sirv.com/SchemesSG/marymountcentre.jpg,,"Children home,child protection",Children's home,,
Mendaki Tuition Scheme,Subsidized group tuition. It is open to all primary and secondary school Muslim students. Held at 50 over locations islandwide. Fees waived for eligible children.,MENDAKI,https://chidnast.sirv.com/SchemesSG/mendaki.jpg,https://www.mendaki.org.sg/tuition_packages/mendaki-tuition-scheme-mts/,Low income,Tuition,"Education,Low Income","subsidy for tuition, low income, educational help, study help"
Family Development Programme,"Monthly financial assistance to help families cope with the cost of daily living expenses, children’s educational expenses and milk powder supplements. Debt Clearance and Savings Matching Schemes to help families get out of debt",Methodist Welfare Services (MWS),https://chidnast.sirv.com/SchemesSG/mws.jpg,https://mws.sg/centre-location/mws-family-development-programme/,"Low income families,In debt","Financial assistance for daily living,Debt assistance","Low Income,Family","Borrowed from loan shark, unable to return, credit card debt, bankrupt"
Free Legal Clinic for Migrant Workers,"Migrant workers can now seek free basic legal advice and information at the Free Legal Clinic, an initiative that is jointly organized by the Law Society of Singapore's Pro Bono Services Office and Migrant Workers' Centre (MWC). The service is open to all Work Permit and S Pass holders. Workers who require free legal advice may contact us at our helpline 6536 2692 or email us at feedback@mwc.org.sg.",Migrant Workers' Centre (MWC),https://chidnast.sirv.com/SchemesSG/mwc.jpg,https://www.ntuc.org.sg/uportal/programmes/mwc-free-legal-clinic,Migrant workers/foreign workers,Legal aid,Migrant workers/foreign workers,"workplace accident, injured at work, employer abuse, migrant support group, no friends in singapore, bangladesh, india, myanmar, china, prc, malaysia, msia, burmese, construction worker, cleaner, no salary, no pay, worker sick, need lawyer, boss abuse, boss cheat money, boss never pay salary"
Migrant Workers' Assistance Fund (MWAF),"Migrant Workers' Assistance Fund (MWAF) aims to provide distressed workers with emergency humanitarian assistance ranging from emergency shelter; daily essentials and basic sustenance needs; employment-related issues such as salary arrears; medical and/or repatriation payments. In the event where the migrant workers tragically lose their lives, the MWAF may also provide their next-of-kin with monetary assistance.",Migrant Workers' Centre (MWC),https://chidnast.sirv.com/SchemesSG/mwc.jpg,https://www.mwc.org.sg/how-we-help/humanitarian-assistance,Migrant workers/foreign workers,"Food,Housing,Referral,Casework",Migrant workers/foreign workers,"workplace accident, injured at work, employer abuse, migrant support group, no friends in singapore, bangladesh, india, myanmar, china, prc, malaysia, msia, burmese, construction worker, cleaner, no salary, no pay, worker sick, boss abuse, no food"
24-Hour Helpline,MWC operates a 24-hour helpline for migrant workers. The helpline is also made available in about 10 different languages native to migrant workers. Migrant workers in need of assistance on employment-related issues can call MWC's 24-hour helpline at 6536 2692.,Migrant Workers' Centre (MWC),https://chidnast.sirv.com/SchemesSG/mwc.jpg,https://www.mwc.org.sg/how-we-help/24-hour-helpline,Migrant workers/foreign workers,Helpline,Migrant workers/foreign workers,"workplace accident, injured at work, employer abuse, migrant support group, no friends in singapore, bangladesh, india, myanmar, china, prc, malaysia, msia, burmese, construction worker, cleaner, no salary, no pay, worker sick, boss abuse, no food"
Ministry of Education – Financial Assistance Scheme (MOE-FAS),"Singapore Citizens in financial need can get assistance from MOE on school fees and other expenses. This applies to Government, Government-aided, special education, specialised and some independent schools, and post-secondary education institutions.",Ministry of Education (MOE),https://chidnast.sirv.com/SchemesSG/moe.jpg,https://www.moe.gov.sg/financial-matters/financial-assistance,Children from low income families,Financial assistance for education,"Low Income,Education","School fees, students, child, children, study, buy books, bursary, young kids"
Community Health Assist Scheme (CHAS),"Enables Singapore Citizens from lower- to middle-income households, and all Pioneers, to receive subsidies for medical & dental care at participating General Practitioners (GP) & dental clinics near their home.",Ministry of Health (MOH),https://chidnast.sirv.com/SchemesSG/MOH.jpg,https://www.chas.sg/,"Low income,Families,Elderly",Financial assistance for healthcare,"Healthcare,Family,Elderly","Low income, need money to see doctor, private clinic"
Enhanced Screen for Life,"Screen for Life (SFL) is a national screening programme that offers eligible Singapore Citizens and Permanent Residents (PRs) subsidised screenings, recommended based on age and gender.",Ministry of Health (MOH),https://chidnast.sirv.com/SchemesSG/MOH.jpg,https://www.moh.gov.sg/cost-financing/healthcare-schemes-subsidies/enhanced-screen-for-life,"Elderly,Families",Screening,Healthcare,"Cannot afford health checkup, need early screening to detect diseases, chronic diseases"
Interim Disability Assistance Programme for the Elderly (IDAPE),Financial help to needy and disabled elderly Singaporeans who were not eligible to join ElderShield when it was launched in 2002 because they had exceeded the maximum entry age or had pre-existing disabilities.,Ministry of Health (MOH),https://chidnast.sirv.com/SchemesSG/MOH.jpg,https://www.moh.gov.sg/cost-financing/healthcare-schemes-subsidies/interim-disability-assistance-programme-for-the-elderly,"Elderly,Low income",Financial assistance for elderly with disabilities,Healthcare,"Chronic, poor, elderly cannot work due to health, cannot move"
Merdeka Generation Package,"Passion Silver card top-up, additional subsidies for outpatient care, MediSave top-ups, additional MediShield Life premium subsidies, additional CareShield Life participation incentive",Ministry of Health (MOH),https://chidnast.sirv.com/SchemesSG/MOH.jpg,https://www.moh.gov.sg/cost-financing/healthcare-schemes-subsidies/merdeka-generation-package,Elderly,Financial assistance for healthcare,Healthcare,"Poor, no money to see doctor, healthcare subsidy, can't afford medical fees, free healthcare"
Pioneer Generation Package,"Provides MediSave top-ups, outpatient care subsidies, CareShield Life additional participation incentives, special MediShield Life Premium subsidies and Pioneer Generation Disability Assistance Scheme.",Ministry of Health (MOH),https://chidnast.sirv.com/SchemesSG/MOH.jpg,https://www.moh.gov.sg/cost-financing/healthcare-schemes-subsidies/pioneer-generation-package,Elderly,Financial assistance for healthcare,Healthcare,"Poor, no money to see doctor, healthcare subsidy, can't afford medical fees, free healthcare"
Subsidies for Government-Funded Intermediate and Long Term Care (ILTC) Services,The Ministry of Health provides subsidies for eligible Singapore Citizens and Permanent Residents who are receiving Residential Long-Term Care (LTC) services.,Ministry of Health (MOH),https://chidnast.sirv.com/SchemesSG/MOH.jpg,"https://www.moh.gov.sg/cost-financing/healthcare-schemes-subsidies/subsidies-for-government-funded-intermediate-long-term-care-services#:~:text=Term%20Care%20Services-,Subsidies%20for%20Government%2Dfunded%20Intermediate%20Long%2DTerm%20Care%20Services,term%20care%20(ILTC)%20services.","Elderly,Need ILTC services","Financial assistance for ILTC,Financial assistance for healthcare",Healthcare,"Poor, no money to see doctor, chronic, healthcare subsidy, can't afford medical fees, healthcare, assistive device, wheelchair"
Subsidies for Services and Drugs at Public Healthcare Institutions,"The Ministry of Health (MOH) provides subsidies for drugs at our public hospitals, specialist outpatient clinics and polyclinics to ensure that patients have access to effective medications for common medical conditions in Singapore.",Ministry of Health (MOH),https://chidnast.sirv.com/SchemesSG/MOH.jpg,https://www.moh.gov.sg/cost-financing/healthcare-schemes-subsidies/drug-subsidies-schemes,"General public,Low income",Financial assistance for healthcare,Healthcare,"Poor, no money to see doctor, chronic, healthcare subsidy, can't afford medical fees, healthcare, assistive device, wheelchair"
Vaccination and Childhood Developmental Screening Subsidies,The Vaccination and Childhood Development Screening Subsidies (VCDSS) enable all eligible Singapore Citizens (SCs) and Permanent Residents (PRs) to receive subsidies for nationally-recommended vaccinations and Childhood Development Screenings (CDS) at polyclinics and/or CHAS GP clinics. Singaporeans benefit from higher subsidies of between $35 to $125 for nationally-recommended vaccinations listed on the Subsidised Vaccine List (SVL) administered at CHAS GP clinics.,Ministry of Health (MOH),https://chidnast.sirv.com/SchemesSG/MOH.jpg,https://www.moh.gov.sg/cost-financing/healthcare-schemes-subsidies/vaccination-and-childhood-developmental-screening-subsidies,"Children,Critical medical needs",Financial assistance for vaccination and screenings,Healthcare,"Poor, no money to see doctor, chronic, healthcare subsidy"
ElderFund,"ElderFund is a discretionary assistance scheme launched on 31 January 2020. It is targeted at severely disabled lower-income Singapore Citizens aged 30 and older, who are not able to benefit from CareShield Life, ElderShield, and the Interim Disability Assistance Programme for the Elderly (IDAPE), and have low MediSave balances and inadequate personal savings to meet their long-term care needs. Eligible Singapore Citizens can receive up to $250 cash per month for as long as they remain eligible, and meet the terms and conditions needed for receipt of payment.","Ministry of Health (MOH), Central Provident Fund (CPF), Agency for Integrated Care (AIC)",https://chidnast.sirv.com/SchemesSG/aic.jpg,https://www.aic.sg/financial-assistance/elderfund,Low income elderly,Healthcare assistance,Healthcare,"Low income, need help with daily activities"
Baby Bonus Scheme - Cash Gift,Baby Bonus Scheme helps to manage the costs of raising children. The ​Baby Bonus Scheme is part of the Marriage and Parenthood Package and comprises the Baby Bonus Cash Gift and the Child Development Account (CDA) benefits.​,Ministry of Social and Family Development (MSF),https://chidnast.sirv.com/SchemesSG/msf.jpg,https://www.babybonus.msf.gov.sg/Pages/AboutUs.aspx,New parents,Financial assistance,"Family,Childcare,Caregiver","We are new parents, firstborn, child"
ComCare Interim Assistance,"Provides immediate financial assistance for lower-income individuals or families who require urgent and temporary financial relief, for less than 3 months. Provides cash assistance, supermarket vouchers, food rations.",Ministry of Social and Family Development (MSF),https://chidnast.sirv.com/SchemesSG/msf.jpg,https://supportgowhere.life.gov.sg/schemes/COMCARE-INTERIM-ASSISTANCE/comcare-interim-assistance,"Low income,Facing financial hardship",Financial assistance,"Family,Low Income","Need money for daily needs, low income, poor"
ComCare Long Term Assistance (LTA),"ComCare Long Term Assistance (LTA) for those who are permanently unable to work. Provides monthly cash assistance, assistance with medical expenses at public healthcare institutions, free or highly subsidised access to social support services.",Ministry of Social and Family Development (MSF),https://chidnast.sirv.com/SchemesSG/msf.jpg,https://supportgowhere.life.gov.sg/schemes/COMCARE-LTA/comcare-long-term-assistance-lta,"Low income,Unable to work",Financial assistance,"Family,Low Income","Need money for daily needs, low income, poor"
ComCare Short-To-Medium-Term Assistance (SMTA),"ComCare Short-to-Medium-Term Assistance (SMTA) for those unable to find a job or work for a period of time and as a result, household needs financial help for a temporary period. Typically granted for 3 to 6 months in the first instance, and renewed if the household continues to require support. Provides monthly cash assistance, assistance for household bills, employment assistance such as job search and/or training.",Ministry of Social and Family Development (MSF),https://chidnast.sirv.com/SchemesSG/msf.jpg,https://supportgowhere.life.gov.sg/schemes/COMCARE-SMTA/comcare-short-to-medium-term-assistance-smta,Low income,Financial assistance,"Family,Low Income","Need money for daily needs, low income, poor"
Student Care Fee Assistance (SCFA),Provides fee assistance for children from lower-income working families enrolled in Student Care Centres (SCCs) registered with MSF.,Ministry of Social and Family Development (MSF),https://chidnast.sirv.com/SchemesSG/msf.jpg,https://supportgowhere.life.gov.sg/schemes/SCFA/student-care-fee-assistance-scfa,"Low income,Households with children attending student care",Financial assistance for student care,"Low Income,Family,Childcare,Student Care","Need money for childcare, student care, daily needs, low income, poor"
Home Ownership Plus Education (HOPE) Scheme,"Assistance for young, low-income parent(s) who choose to keep their family small so that they can focus their resources on giving their children a head start, and improve their financial and social situation. Includes grants and support for training, employment, utilities, housing, bursaries, mentoring and family support",REACH Community Services,https://chidnast.sirv.com/SchemesSG/msf.jpg,https://reach.org.sg/services/counselling-service/hope-scheme/,Low income families,"Financial assistance for daily expenses,Financial assistance for education,Employment assistance","Family,Low Income,Education,Housing","Family planning, low income, no money for food, daily needs, big family"
Child Care Financial Assistance (CCFA),Low-income families with difficult family circumstances can apply for further financial assistance if they are unable to afford the Child Care fees over and above the Basic and Additional Subsidies. They can also apply for a one-time Start-Up Grant to cover the initial start-up costs of enrolling a child in the centre.,Ministry of Social and Family Development (MSF),https://chidnast.sirv.com/SchemesSG/msf.jpg,https://www.ecda.gov.sg/parents/subsidies-financial-assistance#CCICS,Low income families,Subsidised child care,"Low income,Family","Need money for daily needs, low income, poor, need money to pay for childcare"
National Anti-Violence & Sexual Harrassment Helpline (NAVH),"24/7 hotline for persons to seek information, support and referral on issues of family violence.",Ministry of Social and Family Development (MSF),https://chidnast.sirv.com/SchemesSG/MSF.jpg,https://www.msf.gov.sg/breakthesilence,"Families,Children,Women,Youth","Information and referral,Victim support,Counselling,Emotional care",Family,"domestic violence, child abuse, elder abuse, spousal violence, PPO, safety issues, counselling, hotline, help against abuse"
Medical Fee Exemption Card (MFEC),"Your loved one can be covered for standard medical and hospitalisation treatment at government or restructured hospitals, polyclinics and approved intermediate and long-term care services if they are sick and need financial assistance, using the Medical Fee Exemption Card.","Ministry of Social and Family Development (MSF), Ministry of Health (MOH), Agency for Integrated Care (AIC)",https://chidnast.sirv.com/SchemesSG/moh%20msf%20aic.jpg,https://www.aic.sg/financial-assistance/medical-fee-exemption-card-mfec/,"Elderly,Need ILTC services",Exemption from medical fee for certain healthcare services,"Healthcare,Low Income,Family,Caregiver","Poor, no money to see doctor, healthcare subsidy, can't afford medical fees"
Grief Matters,"We offer personalised support to those living with a terminal illness and their caregivers who have lost their loved ones through death. Our services are provided at no cost to individuals and families of all ages, ethnicity and religions. Our team of social workers and counsellors offer centre-based sessions, as well as home visitations to support your needs. Our services include:
 1) Advance Care Planning (ACP), 2) Psychosocial and spiritual support, 3) Support to caregivers, 4) Grief counselling, 5) Advice on practical and financial matters relating to estate planning and funeral arrangements, 6) Link-up to healthcare and community resources, 7) Training and education to promote future care planning and grief literacy within the community",Montfort Care,https://timinone.sirv.com/Shared/SchemesSG-from-chidnast/griefmatters.jpg,https://www.hcsaspin.sg/lone-caregiver-widowed/help-support/,"People with terminal illness,People who lost loved ones,Caregiver,Family","Emotional care,Mental health/mental heath support,Counselling,Referral","Mental health,Caregiver,Elderly,Family,Low Income,Loss of Breadwinner,Palliative","will writing, end of life care, dying, bereavement, funeral, palliative, cope with loss, sudden death, accident, cancer, diagnosed, death, died, family died"
Mount Alvernia Outreach Medical & Dental Clinics,"For the vulnerable and marginalised who have fallen through the cracks of the conventional safety net, the outreach clinics aim to provide heavily subsidised primary healthcare and dental services to create a healthier community and a positive health impact.
 Medical Clinic @ Enabling Village
 20 Lengkok Bahru #02-03 Enabling Village Singapore 159053
 Tel: +65 6473 5100
 Operating Hours:
 Mon & Fri: 9am to 1pm | 2pm to 6pm
 Tue, Wed & Thu: 12pm to 4pm | 5pm to 8pm Dental Clinic* @ Enabling Village
 20 Lengkok Bahru #02-03 Enabling Village Singapore 159053
 Tel: +65 6473 9100
 Operating Hours:
 Mon to Fri: 9.30am to 1pm | 2pm to 5.30pm
 *appointments are required Medical Clinic @ Agape Village
 7A Lorong 8 Toa Payoh #02-07 Agape Village Singapore 319264
 Tel: +65 6262 4312
 Operating Hours:
 Every first Thu of the month (except PH): 6.30pm to 8.30pm Dental Clinic* @ Agape Village
 7A Lorong 8 Toa Payoh #02-07 Agape Village Singapore 319264
 Tel: +65 6262 4313
 Operating Hours:
 Mon to Fri: 9.30am to 1pm | 2pm to 5.30pm
 *appointments are required",Mount Alvernia,https://chidnast.sirv.com/SchemesSG/mountalvernia.jpg,https://mtalvernia.sg/about-us/community-outreach/,Low income families,"Basic healthcare services,Dental services","Healthcare,Dental","No money to see doctor, no money to see dentist, free healthcare"
MINDS,"MINDS seeks to empower individuals with special needs through social enterprise programmes, advocacy, caregiver respite, therapy, befriending services for social integration, supported employment, home care, decluttering, training and development.",Movement for the Intellectually Disabled of Singapore (MINDS),https://chidnast.sirv.com/SchemesSG/minds.jpg,https://www.minds.org.sg/,"Therapy,Befriending,Employment assistance,Decluttering","Intellectually disabled,Special needs",Special Needs,"child is intellectually disabled, child has special needs, leaning disability"
Transport Subsidy and Assistive Device & Equipment Subsidy,"Through the Transport Subsidy Scheme, members are provided up to 100% subsidy on a case-by-case basis. This ensures that our school-going children remain in school and continue to seek regular medical consultation despite the high transport cost.

Under our Assistive Device & Equipment Subsidy, members with muscular dystrophy were provided with subsidies for the purchase of life-saving medical equipment. This enables them to enjoy a better quality of life and to live with dignity. We also prioritise the need of providing functional motorized wheelchairs for members as this is the first step to overcoming isolation and to come out into the community to have fulfilling interaction and learning.",Muscular Dystrophy Association of Singapore (MDAS),https://chidnast.sirv.com/SchemesSG/mdas.jpg,https://www.mdas.org.sg/service,"Special needs children,Critical medical needs",Financial assistance for medical equipment,"Special Needs,Transport","For muscular dystrophy, special needs, medical equipment, subsidy assistive device, wheelchair"
Care & Compassion (Financial Aid),"Our Care & Compassion Programme has three components to it, namely our monthly disbursement ceremony, walk-in assistance and monthly free health consultation.",Muslim Kidney Action Association,https://chidnast.sirv.com/SchemesSG/mkac.jpg,https://www.mkac.sg/care-compassion/,Kidney patients,Financial assistance for dialysis,"PWD,Transport",Kidney
Financial Assistance,MTFA provides cash assistance given on a bi-monthly basis as well as Fidyah groceries voucher for selected families.,Muslimin Trust Fund Association,https://chidnast.sirv.com/SchemesSG/mtfa.jpg,https://www.mtfa.org/financial-assistance,Low income families,"Financial assistance for daily living,Food","Low Income,Food","Hungry, have not eaten, food"
Subsidised Dialysis Treatments,Ihsan Kidney Care provides subsidised dialysis treatments for lower-income patients.,Muslimin Trust Fund Association,https://chidnast.sirv.com/SchemesSG/mtfa.jpg,https://www.mtfa.org/ikcfundraising,Low income families,"Financial assistance for daily living,Food","Dialysis treatment,healthcare","Need dialysis treatment,healthcare subsidies"
National Addictions Management Service (NAMS),"(1) Assessment and treatment of addictions;
 (2) Individual, group and family therapy;
 (3) Psycho-education group on gambling
 All Addictions Hotline 6-RECOVER (6-7326837)
 Gambling Helpline 1800-6-668-668",National Addictions Management Service (NAMS),https://chidnast.sirv.com/SchemesSG/nams.jpg,https://www.nams.sg/Pages/default.aspx,Addictions,Addictions assessment and treatment,"Addictions,Counselling","addicts, addictions, gambling, alcoholics"
U Care Hardship Grant,"This scheme aims to give assistance to union members or their next-of-kin when the sole or main breadwinner dies, becomes permanently incapacitated or suffers from serious chronic illness of non-industrial nature. A registered fire or flood victim who is a member is also eligible for the grant.",National Trades Union Congress (NTUC),https://chidnast.sirv.com/SchemesSG/ntuc.jpg,https://www.ntuc.org.sg/uportal/news/U-Care-Hardship-Grant/,Families who have just lost a breadwinner,Financial assistance,"Loss of Breadwinner,Low Income","Loss of breadwinner, loss of income earner, father die, mother die, father passed away, mother passed away, accident"
Residential Rehabilitation Programme,"Provides recuperation, restoration, reconciliation and reintegration avenues for newly released ex-offenders as well as those who are admitted through walk-in. Here, they learn how to rebuild their lives and families, and then contribute back to society. During the course of the Residential Programme, befriending, discipleship, individual counselling and psychoeducation is ongoing. Psychoeducation includes talks on Social Etiquette, Budgeting, Parenting, etc.",New Charis Mission (TNCM),https://chidnast.sirv.com/SchemesSG/ncm.jpg,https://thenewcharismission.org.sg/residential-rehabilitation-programme/,Ex-offenders,"Casework,Counselling,Emotional care,Housing,Mentoring",Ex-offender,"halfway house, ex-convict need housing, ex-convict social program, ex-prisoner"
Job Support and Retention Programme,The Job Support and Retention Programme acts as a bridge between employers and our beneficiaries. The programme provides job-matching and skills-training services and also actively conducts outreach initiatives for potential employer partners.,New Hope Community Services,https://chidnast.sirv.com/SchemesSG/nhcs.jpg,https://www.newhopecs.org.sg/sbff-job-support-retention-prog,"Job support and retention,employment,homeless,low income",Employment support,"Job support and retention,employment,homeless,low income","Homeless, no place to stay, no roof over head, no accommodation"
Transit Point @ Spooner,Transit Point @ 1 Spooner (TP@1SR) is a transitional shelter that provides temporary accommodation and social work intervention to displaced individuals who have exhausted all other means of accommodation. Residents work with our social work professionals to address their needs and develop intervention plans towards achieving long-term and stable housing.,New Hope Community Services,https://chidnast.sirv.com/SchemesSG/nhcs.jpg,https://www.newhopecs.org.sg/tp-spooner1,Ex-offenders,Shelter,"Homeless,Ex-offender","Ex offenders, ex convict, ex-convict, homeless, no place to stay, no roof over head, no accommodation"
"Transit Point @ Jalan Kukoh
",Transit Point @ Jalan Kukoh (TP@JK) is a transitional shelter that provides temporary accommodation and social work intervention to displaced families and individuals who have exhausted all other means of accommodation. Residents work with our social work professionals to address their needs and develop intervention plans towards achieving long-term and stable housing.,New Hope Community Services,https://chidnast.sirv.com/SchemesSG/nhcs.jpg,https://www.newhopecs.org.sg/tp-jk,"Need shelter,displaced families and individuals",Shelter,"Need shelter,displaced families and individuals",
Transit Point @ Margaret Drive,"Transit Point @ Margaret Drive (TP@MD) is a low-barrier-to-entry, community-based interim shelter primarily for rough sleepers with complex housing needs. Our team at the shelter works with residents to facilitate their long-term housing goals, empower them with the requisite skills for self-reliance and connect them to relevant social resources to meet their holistic needs.",New Hope Community Services,https://chidnast.sirv.com/SchemesSG/nhcs.jpg,https://www.newhopecs.org.sg/tp-md,Need shelter,Shelter,Homeless,"Homeless, no place to stay, no roof over head, no accommodation"
